Gulf Resources Price to Free Cash Flow Ratio Historical Data,Gulf Resources Price to Free Cash Flow Ratio Historical Data,Gulf Resources Price to Free Cash Flow Ratio Historical Data,Gulf Resources Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,0.74,,0.0
2024-09-30,0.96,$-8.30,0.0
2024-06-30,1.03,$-9.91,0.0
2024-03-31,1.48,$-3.72,0.0
2023-12-31,1.65,$-3.14,0.0
2023-09-30,1.87,$0.47,3.96
2023-06-30,2.5,$3.81,0.66
2023-03-31,2.68,$1.04,2.57
2022-12-31,3.09,$1.35,2.28
2022-09-30,3.36,$-0.52,0.0
2022-06-30,4.36,$-2.17,0.0
2022-03-31,4.24,$-0.21,0.0
2021-12-31,4.33,$-0.65,0.0
2021-09-30,4.48,$-0.36,0.0
2021-06-30,6.33,$-0.26,0.0
2021-03-31,4.35,$-0.40,0.0
2020-12-31,4.12,$-1.29,0.0
2020-09-30,5.5,$-1.39,0.0
2020-06-30,5.35,$-7.00,0.0
2020-03-31,3.38,$-8.27,0.0
2019-12-31,2.55,$-8.02,0.0
2019-09-30,3.49,$-10.47,0.0
2019-06-30,5.0,$-5.03,0.0
2019-03-31,5.35,$-4.33,0.0
2018-12-31,3.9,$-1.92,0.0
2018-09-30,5.2,$3.58,1.45
2018-06-30,6.9,$4.96,1.39
2018-03-31,7.15,$6.00,1.19
2017-12-31,7.35,$4.78,1.54
2017-09-30,9.45,$5.19,1.82
2017-06-30,7.95,$3.33,2.39
2017-03-31,8.9,$3.46,2.57
2016-12-31,9.75,$4.10,2.38
2016-09-30,10.7,$3.08,3.48
2016-06-30,7.7,$4.33,1.78
2016-03-31,8.05,$4.64,1.73
2015-12-31,9.1,$5.16,1.77
2015-09-30,7.05,$5.21,1.35
2015-06-30,10.33,$4.77,2.17
2015-03-31,8.3,$5.52,1.5
2014-12-31,5.8,$5.10,1.14
2014-09-30,7.15,$4.05,1.77
2014-06-30,10.7,$5.01,2.14
2014-03-31,12.1,$4.65,2.6
2013-12-31,11.75,$4.76,2.47
2013-09-30,8.55,$4.92,1.74
2013-06-30,5.8,$1.68,3.45
2013-03-31,5.5,$-0.55,0.0
2012-12-31,5.8,$-1.80,0.0
2012-09-30,5.6,$-3.81,0.0
2012-06-30,6.1,$1.43,4.28
2012-03-31,11.75,$-1.26,0.0
2011-12-31,8.95,$0.89,10.11
2011-09-30,11.15,$1.24,9.0
2011-06-30,15.5,$0.38,40.94
2011-03-31,30.95,$4.23,7.32
2010-12-31,53.45,$2.74,19.49
2010-09-30,38.45,$4.73,8.14
2010-06-30,42.95,$0.70,61.06
2010-03-31,58.05,$1.57,37.05
2009-12-31,58.3,$0.27,217.13
