Landmark Bancorp Price to Free Cash Flow Ratio Historical Data,Landmark Bancorp Price to Free Cash Flow Ratio Historical Data,Landmark Bancorp Price to Free Cash Flow Ratio Historical Data,Landmark Bancorp Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,27.55,,9.42
2024-09-30,19.05,$2.93,6.51
2024-06-30,17.92,$2.17,8.25
2024-03-31,17.8,$1.81,9.83
2023-12-31,18.09,$2.02,8.96
2023-09-30,15.66,$3.62,4.32
2023-06-30,18.55,$4.11,4.52
2023-03-31,17.41,$4.32,4.03
2022-12-31,18.9,$4.37,4.32
2022-09-30,20.17,$3.43,5.88
2022-06-30,19.82,$3.83,5.17
2022-03-31,20.43,$4.63,4.41
2021-12-31,22.09,$5.25,4.21
2021-09-30,20.04,$5.89,3.4
2021-06-30,19.53,$5.52,3.54
2021-03-31,18.95,$3.00,6.31
2020-12-31,16.26,$2.56,6.34
2020-09-30,14.36,$2.89,4.97
2020-06-30,16.47,$2.01,8.21
2020-03-31,13.48,$2.43,5.56
2019-12-31,16.43,$1.42,11.6
2019-09-30,14.51,$1.40,10.39
2019-06-30,14.71,$2.06,7.12
2019-03-31,13.89,$2.81,4.95
2018-12-31,14.01,$3.48,4.03
2018-09-30,16.55,$2.56,6.47
2018-06-30,16.16,$0.71,22.72
2018-03-31,16.41,$0.93,17.71
2017-12-31,16.21,$0.42,38.29
2017-09-30,14.94,$0.28,53.55
2017-06-30,16.02,$2.15,7.45
2017-03-31,15.88,$3.05,5.21
2016-12-31,14.53,$3.36,4.32
2016-09-30,12.98,$2.09,6.22
2016-06-30,12.32,$3.18,3.88
2016-03-31,12.07,$1.71,7.04
2015-12-31,12.57,$1.14,11.03
2015-09-30,11.45,$2.48,4.61
2015-06-30,10.91,$0.93,11.68
2015-03-31,11.39,$1.05,10.89
2014-12-31,9.37,$1.37,6.84
2014-09-30,9.67,$1.07,9.06
2014-06-30,8.22,$1.13,7.31
2014-03-31,8.01,$-0.52,0.0
2013-12-31,7.95,$2.51,3.17
2013-09-30,7.96,$3.63,2.19
2013-06-30,8.22,$2.25,3.66
2013-03-31,7.69,$5.40,1.42
2012-12-31,7.4,$2.28,3.24
2012-09-30,7.19,$0.96,7.49
2012-06-30,7.09,$1.79,3.97
2012-03-31,6.89,$0.58,11.85
2011-12-31,6.39,$2.87,2.22
2011-09-30,4.91,$2.66,1.85
2011-06-30,4.89,$2.80,1.75
2011-03-31,5.1,$2.44,2.09
2010-12-31,5.25,$-0.15,0.0
2010-09-30,4.64,$-0.08,0.0
2010-06-30,4.99,$0.44,11.27
2010-03-31,5.14,$2.35,2.19
2009-12-31,4.25,$1.13,3.77
