Ivanhoe Electric Price to Free Cash Flow Ratio Historical Data,Ivanhoe Electric Price to Free Cash Flow Ratio Historical Data,Ivanhoe Electric Price to Free Cash Flow Ratio Historical Data,Ivanhoe Electric Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,6.33,,0.0
2024-12-31,7.55,$-1.37,0.0
2024-09-30,8.46,$-1.55,0.0
2024-06-30,9.38,$-1.57,0.0
2024-03-31,9.8,$-1.58,0.0
2023-12-31,10.08,$-1.48,0.0
2023-09-30,11.9,$-1.76,0.0
2023-06-30,13.04,$-1.60,0.0
2023-03-31,12.15,$-1.91,0.0
