MOGU Price to Free Cash Flow Ratio Historical Data,MOGU Price to Free Cash Flow Ratio Historical Data,MOGU Price to Free Cash Flow Ratio Historical Data,MOGU Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,2.13,,0.0
2021-06-30,19.92,$-4.06,0.0
2021-03-31,23.28,$-3.98,0.0
2020-12-31,26.04,$-3.01,0.0
2020-09-30,28.2,$-3.81,0.0
2020-06-30,21.6,$-4.65,0.0
2020-03-31,13.74,$-4.99,0.0
2019-12-31,27.36,$-2.48,0.0
