Twin Disc Price to Free Cash Flow Ratio Historical Data,Twin Disc Price to Free Cash Flow Ratio Historical Data,Twin Disc Price to Free Cash Flow Ratio Historical Data,Twin Disc Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,8.13,,8.27
2024-12-31,11.75,$0.98,11.96
2024-09-30,12.45,$0.86,14.4
2024-06-30,11.7,$1.80,6.49
2024-03-31,16.38,$2.13,7.69
2023-12-31,15.97,$2.19,7.29
2023-09-30,13.52,$2.27,5.94
2023-06-30,11.09,$1.60,6.92
2023-03-31,9.39,$0.30,31.75
2022-12-31,9.58,$-0.57,0.0
2022-09-30,11.3,$-1.29,0.0
2022-06-30,8.93,$-0.27,0.0
2022-03-31,16.4,$0.04,438.38
2021-12-31,10.8,$0.64,16.91
2021-09-30,10.5,$1.12,9.35
2021-06-30,14.02,$0.16,85.75
2021-03-31,9.42,$0.27,35.48
2020-12-31,7.73,$0.40,19.28
2020-09-30,4.99,$-0.08,0.0
2020-06-30,5.46,$-0.11,0.0
2020-03-31,6.88,$-0.05,0.0
2019-12-31,10.86,$-1.06,0.0
2019-09-30,10.43,$-1.32,0.0
2019-06-30,14.88,$-1.36,0.0
2019-03-31,16.41,$-1.28,0.0
2018-12-31,14.53,$-0.85,0.0
2018-09-30,22.7,$0.06,404.66
2018-06-30,24.46,$0.03,831.81
2018-03-31,21.42,$-0.02,0.0
2017-12-31,26.18,$0.41,63.16
2017-09-30,18.34,$0.05,361.67
2017-06-30,15.9,$0.02,682.52
2017-03-31,20.27,$0.48,42.01
2016-12-31,14.39,$0.27,53.06
2016-09-30,11.8,$-0.02,0.0
2016-06-30,10.58,$-0.06,0.0
2016-03-31,9.98,$-0.92,0.0
2015-12-31,10.37,$-0.36,0.0
2015-09-30,12.13,$0.56,21.67
2015-06-30,18.11,$0.74,24.63
2015-03-31,17.08,$1.39,12.27
2014-12-31,19.1,$0.62,30.86
2014-09-30,25.84,$0.71,36.26
2014-06-30,31.59,$1.65,19.12
2014-03-31,25.1,$2.21,11.37
2013-12-31,24.57,$2.33,10.56
2013-09-30,24.71,$2.32,10.65
2013-06-30,22.34,$1.60,13.96
2013-03-31,23.54,$1.83,12.89
2012-12-31,16.3,$1.72,9.46
2012-09-30,16.64,$0.59,28.09
2012-06-30,17.11,$0.07,239.03
2012-03-31,24.04,$-1.05,0.0
2011-12-31,33.37,$-1.20,0.0
2011-09-30,24.46,$-0.53,0.0
2011-06-30,35.34,$0.19,190.4
2011-03-31,29.4,$0.94,31.36
2010-12-31,27.18,$1.96,13.85
2010-09-30,12.66,$2.35,5.4
2010-06-30,10.25,$2.76,3.71
2010-03-31,10.97,$2.61,4.2
2009-12-31,9.3,$1.53,6.07
