Youdao Price to Free Cash Flow Ratio Historical Data,Youdao Price to Free Cash Flow Ratio Historical Data,Youdao Price to Free Cash Flow Ratio Historical Data,Youdao Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,8.09,,0.0
2024-09-30,4.15,$-0.53,0.0
2024-06-30,3.92,$-0.53,0.0
2024-03-31,4.02,$-0.53,0.0
2023-12-31,3.94,$-0.53,0.0
2023-09-30,4.02,$-0.79,0.0
2023-06-30,4.82,$-0.79,0.0
2023-03-31,8.5,$-0.79,0.0
2022-12-31,5.38,$-0.79,0.0
2022-09-30,3.93,$-1.82,0.0
2022-06-30,4.92,$-1.82,0.0
2022-03-31,7.1,$-1.82,0.0
2021-12-31,12.48,$-1.82,0.0
2021-09-30,12.09,$0.13,95.57
2021-06-30,23.09,$-0.49,0.0
2021-03-31,23.82,$-0.49,0.0
2020-12-31,26.53,$-0.49,0.0
