Peabody Energy Price to Free Cash Flow Ratio Historical Data,Peabody Energy Price to Free Cash Flow Ratio Historical Data,Peabody Energy Price to Free Cash Flow Ratio Historical Data,Peabody Energy Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,13.84,,13.44
2024-12-31,20.94,$1.03,20.34
2024-09-30,26.47,$2.44,10.86
2024-06-30,21.98,$0.43,51.51
2024-03-31,24.03,$2.93,8.2
2023-12-31,24.02,$4.62,5.2
2023-09-30,25.58,$7.50,3.41
2023-06-30,21.25,$10.47,2.03
2023-03-31,25.04,$10.61,2.36
2022-12-31,25.84,$6.30,4.1
2022-09-30,24.27,$6.10,3.98
2022-06-30,20.86,$3.24,6.44
2022-03-31,23.99,$-0.01,0.0
2021-12-31,9.85,$2.34,4.21
2021-09-30,14.46,$-1.33,0.0
2021-06-30,7.76,$-1.55,0.0
2021-03-31,2.99,$-1.37,0.0
2020-12-31,2.36,$-1.84,0.0
2020-09-30,2.25,$-1.43,0.0
2020-06-30,2.82,$0.03,82.36
2020-03-31,2.84,$2.16,1.31
2019-12-31,8.92,$4.07,2.19
2019-09-30,14.23,$4.84,2.94
2019-06-30,23.13,$6.37,3.63
2019-03-31,27.04,$7.76,3.49
2018-12-31,27.23,$10.46,2.6
2018-09-30,31.73,$14.09,2.25
2018-06-30,40.37,$13.76,2.93
2018-03-31,32.31,$3.05,10.58
