General Dynamics Price to Free Cash Flow Ratio Historical Data,General Dynamics Price to Free Cash Flow Ratio Historical Data,General Dynamics Price to Free Cash Flow Ratio Historical Data,General Dynamics Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,265.7,,23.07
2024-12-31,263.49,$11.52,22.88
2024-09-30,300.77,$8.20,36.67
2024-06-30,287.32,$7.82,36.74
2024-03-31,278.37,$7.52,37.0
2023-12-31,254.55,$13.80,18.44
2023-09-30,215.3,$11.16,19.29
2023-06-30,208.34,$10.96,19.0
2023-03-31,219.72,$10.63,20.66
2022-12-31,237.59,$12.46,19.07
2022-09-30,202.03,$16.46,12.27
2022-06-30,210.68,$17.23,12.23
2022-03-31,227.18,$18.99,11.97
2021-12-31,195.27,$12.00,16.27
2021-09-30,182.54,$15.14,12.06
2021-06-30,174.21,$13.72,12.7
2021-03-31,166.93,$12.52,13.34
2020-12-31,135.86,$10.04,13.53
2020-09-30,125.42,$9.27,13.53
2020-06-30,134.41,$9.04,14.88
2020-03-31,118.04,$7.28,16.22
2019-12-31,156.46,$6.86,22.82
2019-09-30,161.18,$6.03,26.73
2019-06-30,159.49,$5.20,30.68
2019-03-31,147.61,$6.85,21.54
2018-12-31,136.32,$8.22,16.59
2018-09-30,176.72,$8.14,21.71
2018-06-30,160.13,$8.55,18.72
2018-03-31,188.95,$7.79,24.25
2017-12-31,173.32,$11.32,15.31
2017-09-30,174.45,$7.36,23.7
2017-06-30,167.4,$6.13,27.31
2017-03-31,157.48,$5.91,26.62
2016-12-31,144.62,$5.71,25.35
2016-09-30,129.33,$3.95,32.76
2016-06-30,116.06,$4.87,23.83
2016-03-31,108.26,$5.63,19.23
2015-12-31,112.6,$6.24,18.05
2015-09-30,112.53,$5.39,20.89
2015-06-30,115.58,$10.14,11.4
2015-03-31,109.62,$10.66,10.29
2014-12-31,110.65,$9.69,11.42
2014-09-30,101.67,$14.16,7.18
2014-06-30,92.74,$8.26,11.23
2014-03-31,86.18,$7.32,11.78
2013-12-31,75.16,$7.57,9.93
2013-09-30,68.39,$5.19,13.17
2013-06-30,60.77,$5.85,10.39
2013-03-31,54.27,$6.45,8.41
2012-12-31,53.31,$6.14,8.68
2012-09-30,50.12,$9.56,5.24
2012-06-30,49.62,$7.97,6.22
2012-03-31,54.8,$7.76,7.06
2011-12-31,49.27,$7.56,6.51
2011-09-30,41.86,$5.87,7.14
2011-06-30,54.84,$7.83,7.0
2011-03-31,55.63,$7.11,7.82
2010-12-31,51.26,$6.79,7.55
2010-09-30,45.08,$7.04,6.4
2010-06-30,42.03,$6.29,6.69
2010-03-31,54.71,$6.56,8.33
2009-12-31,48.05,$6.37,7.55
