Hecla Mining Price to Free Cash Flow Ratio Historical Data,Hecla Mining Price to Free Cash Flow Ratio Historical Data,Hecla Mining Price to Free Cash Flow Ratio Historical Data,Hecla Mining Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,5.85,,664.77
2024-12-31,4.91,$0.01,0.0
2024-09-30,6.65,$-0.10,0.0
2024-06-30,4.83,$-0.18,0.0
2024-03-31,4.78,$-0.27,0.0
2023-12-31,4.78,$-0.24,0.0
2023-09-30,3.88,$-0.18,0.0
2023-06-30,5.1,$-0.22,0.0
2023-03-31,6.26,$-0.16,0.0
2022-12-31,5.49,$-0.11,0.0
2022-09-30,3.89,$-0.03,0.0
2022-06-30,3.86,$0.12,32.47
2022-03-31,6.47,$0.21,31.09
2021-12-31,5.13,$0.21,24.76
2021-09-30,5.4,$0.22,24.78
2021-06-30,7.29,$0.28,26.14
2021-03-31,5.57,$0.23,24.25
2020-12-31,6.34,$0.17,37.07
2020-09-30,4.96,$0.18,27.05
2020-06-30,3.19,$0.15,21.19
2020-03-31,1.77,$-0.00,0.0
2019-12-31,3.3,$-0.00,0.0
2019-09-30,1.71,$-0.15,0.0
2019-06-30,1.75,$-0.23,0.0
2019-03-31,2.23,$-0.12,0.0
2018-12-31,2.29,$-0.09,0.0
2018-09-30,2.7,$0.02,135.69
2018-06-30,3.36,$0.06,59.98
2018-03-31,3.55,$0.00,0.0
2017-12-31,3.83,$0.05,83.7
2017-09-30,4.84,$0.03,163.66
2017-06-30,4.92,$0.13,37.29
2017-03-31,5.1,$0.24,21.28
2016-12-31,5.05,$0.16,32.29
2016-09-30,5.49,$0.10,56.03
2016-06-30,4.91,$-0.04,0.0
2016-03-31,2.68,$-0.11,0.0
2015-12-31,1.82,$-0.08,0.0
2015-09-30,1.89,$-0.07,0.0
2015-06-30,2.52,$-0.12,0.0
2015-03-31,2.86,$-0.13,0.0
2014-12-31,2.67,$-0.11,0.0
2014-09-30,2.37,$-0.16,0.0
2014-06-30,3.3,$-0.22,0.0
2014-03-31,2.93,$-0.33,0.0
2013-12-31,2.94,$-0.39,0.0
2013-09-30,2.99,$-0.41,0.0
2013-06-30,2.84,$-0.24,0.0
2013-03-31,3.76,$-0.25,0.0
2012-12-31,5.53,$-0.15,0.0
2012-09-30,6.19,$-0.53,0.0
2012-06-30,4.49,$-0.42,0.0
2012-03-31,4.35,$-0.13,0.0
2011-12-31,4.91,$-0.06,0.0
2011-09-30,5.01,$0.66,7.64
2011-06-30,7.19,$0.60,11.97
2011-03-31,8.49,$0.57,14.8
2010-12-31,10.53,$0.48,21.77
2010-09-30,5.91,$0.50,11.86
2010-06-30,4.88,$0.52,9.4
2010-03-31,5.12,$0.45,11.41
2009-12-31,5.78,$0.43,13.57
