Rani Therapeutics Holdings Price to Free Cash Flow Ratio Historical Data,Rani Therapeutics Holdings Price to Free Cash Flow Ratio Historical Data,Rani Therapeutics Holdings Price to Free Cash Flow Ratio Historical Data,Rani Therapeutics Holdings Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,1.5,,0.0
2024-09-30,2.16,$-1.44,0.0
2024-06-30,3.8,$-1.77,0.0
2024-03-31,3.11,$-1.93,0.0
2023-12-31,3.32,$-2.06,0.0
2023-09-30,2.18,$-2.23,0.0
2023-06-30,4.12,$-2.18,0.0
2023-03-31,5.16,$-2.06,0.0
2022-12-31,5.9,$-2.02,0.0
2022-09-30,9.58,$-1.94,0.0
2022-06-30,10.33,$-2.51,0.0
