Chicago Rivet & Machine Price to Free Cash Flow Ratio Historical Data,Chicago Rivet & Machine Price to Free Cash Flow Ratio Historical Data,Chicago Rivet & Machine Price to Free Cash Flow Ratio Historical Data,Chicago Rivet & Machine Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,13.62,,0.0
2024-09-30,17.97,$-0.02,0.0
2024-06-30,14.7,$-0.21,0.0
2024-03-31,16.77,$-1.34,0.0
2023-12-31,16.64,$-3.06,0.0
2023-09-30,17.17,$-4.94,0.0
2023-06-30,24.92,$0.48,51.8
2023-03-31,28.54,$1.30,22.01
2022-12-31,27.29,$2.91,9.39
2022-09-30,24.36,$3.42,7.13
2022-06-30,26.72,$-1.84,0.0
2022-03-31,24.59,$-1.20,0.0
2021-12-31,24.25,$-1.73,0.0
2021-09-30,24.58,$-1.16,0.0
2021-06-30,23.48,$-1.28,0.0
2021-03-31,22.94,$-0.59,0.0
2020-12-31,20.41,$-0.21,0.0
2020-09-30,19.2,$0.84,22.99
2020-06-30,18.39,$2.41,7.62
2020-03-31,18.67,$2.38,7.85
2019-12-31,22.5,$1.42,15.82
2019-09-30,22.91,$0.54,42.76
2019-06-30,24.46,$-0.77,0.0
2019-03-31,24.05,$-1.72,0.0
2018-12-31,26.36,$-0.09,0.0
2018-09-30,27.02,$0.95,28.4
2018-06-30,26.63,$1.79,14.91
2018-03-31,25.58,$2.04,12.57
2017-12-31,25.68,$1.72,14.94
2017-09-30,24.88,$1.52,16.32
2017-06-30,29.76,$1.37,21.67
2017-03-31,32.02,$1.66,19.26
2016-12-31,32.53,$2.07,15.69
2016-09-30,21.9,$1.29,16.92
2016-06-30,20.86,$1.54,13.55
2016-03-31,18.76,$1.76,10.64
2015-12-31,17.47,$2.08,8.38
2015-09-30,18.71,$1.73,10.8
2015-06-30,20.82,$1.49,14.01
2015-03-31,24.3,$1.04,23.33
2014-12-31,22.46,$0.75,30.12
2014-09-30,22.5,$0.90,24.99
2014-06-30,26.71,$0.72,37.27
2014-03-31,28.01,$0.08,332.71
2013-12-31,23.48,$-0.23,0.0
2013-09-30,21.06,$0.39,53.62
2013-06-30,18.94,$0.90,21.14
2013-03-31,18.03,$2.08,8.66
2012-12-31,13.47,$1.83,7.37
2012-09-30,12.53,$1.26,9.98
2012-06-30,12.43,$0.88,14.05
2012-03-31,13.2,$0.10,128.2
2011-12-31,11.31,$-0.03,0.0
2011-09-30,10.49,$-0.29,0.0
2011-06-30,10.25,$-0.08,0.0
2011-03-31,11.41,$0.13,90.53
2010-12-31,11.21,$0.53,21.15
2010-09-30,11.06,$0.92,12.06
2010-06-30,9.06,$-0.18,0.0
2010-03-31,9.57,$-0.54,0.0
2009-12-31,8.89,$-0.09,0.0
