Permian Resources Price to Free Cash Flow Ratio Historical Data,Permian Resources Price to Free Cash Flow Ratio Historical Data,Permian Resources Price to Free Cash Flow Ratio Historical Data,Permian Resources Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,13.97,,31.07
2024-12-31,14.38,$0.45,31.98
2024-09-30,13.48,$0.76,17.64
2024-06-30,15.77,$1.46,10.82
2024-03-31,17.03,$1.17,14.6
2023-12-31,12.99,$1.38,9.45
2023-09-30,13.22,$1.26,10.52
2023-06-30,10.3,$1.71,6.02
2023-03-31,9.76,$2.07,4.71
2022-12-31,8.7,$2.05,4.23
2022-09-30,6.26,$3.00,2.09
2022-06-30,5.51,$2.51,2.19
2022-03-31,7.43,$2.14,3.47
2021-12-31,5.51,$2.00,2.76
2021-09-30,6.17,$1.60,3.86
2021-06-30,6.25,$1.47,4.24
2021-03-31,3.87,$0.92,4.2
2020-12-31,1.38,$0.59,2.34
2020-09-30,0.55,$2.30,0.24
2020-06-30,0.82,$1.71,0.48
2020-03-31,0.24,$1.96,0.12
2019-12-31,4.26,$1.76,2.42
2019-09-30,4.16,$-1.96,0.0
2019-06-30,6.99,$-1.73,0.0
2019-03-31,8.1,$-1.61,0.0
2018-12-31,10.15,$-1.49,0.0
2018-09-30,20.13,$-1.20,0.0
2018-06-30,16.64,$-1.40,0.0
2018-03-31,16.9,$-3.00,0.0
2017-12-31,18.24,$-3.05,0.0
2017-09-30,16.55,$-2.57,0.0
2017-06-30,14.57,$-2.06,0.0
2017-03-31,16.79,$-0.39,0.0
