Rimini Street Price to Free Cash Flow Ratio Historical Data,Rimini Street Price to Free Cash Flow Ratio Historical Data,Rimini Street Price to Free Cash Flow Ratio Historical Data,Rimini Street Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,4.0,,0.0
2024-12-31,2.67,$-0.47,0.0
2024-09-30,1.85,$-0.10,0.0
2024-06-30,3.07,$0.01,0.0
2024-03-31,3.26,$0.08,39.42
2023-12-31,3.27,$0.06,55.71
2023-09-30,2.2,$0.08,28.17
2023-06-30,4.79,$-0.09,0.0
2023-03-31,4.12,$-0.08,0.0
2022-12-31,3.81,$0.35,10.93
2022-09-30,4.66,$0.57,8.13
2022-06-30,6.01,$0.85,7.1
2022-03-31,5.8,$0.94,6.2
2021-12-31,5.97,$0.73,8.19
2021-09-30,9.65,$0.68,14.1
2021-06-30,6.16,$0.48,12.94
2021-03-31,8.97,$0.50,18.07
2020-12-31,4.43,$0.57,7.77
2020-09-30,3.22,$0.41,7.86
2020-06-30,5.15,$0.55,9.43
2020-03-31,4.09,$0.57,7.16
2019-12-31,3.88,$0.28,13.84
2019-09-30,4.38,$0.38,11.66
2019-06-30,5.3,$0.72,7.37
