Ennis Price to Free Cash Flow Ratio Historical Data,Ennis Price to Free Cash Flow Ratio Historical Data,Ennis Price to Free Cash Flow Ratio Historical Data,Ennis Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,21.0,,8.5
2024-11-30,21.33,$2.47,8.63
2024-08-31,21.07,$2.42,8.71
2024-05-31,18.32,$2.44,7.5
2024-02-29,17.48,$2.41,7.24
2023-11-30,18.05,$2.34,7.71
2023-08-31,17.9,$2.13,8.42
2023-05-31,16.07,$1.94,8.27
2023-02-28,17.83,$1.70,10.5
2022-11-30,18.83,$1.72,10.98
2022-08-31,17.0,$1.61,10.58
2022-05-31,14.36,$1.77,8.1
2022-02-28,14.65,$1.72,8.51
2021-11-30,14.65,$1.61,9.11
2021-08-31,14.76,$1.77,8.33
2021-05-31,15.75,$1.88,8.37
2021-02-28,14.73,$1.96,7.53
2020-11-30,12.03,$2.03,5.93
2020-08-31,13.3,$2.16,6.16
2020-05-31,12.74,$2.06,6.2
2020-02-29,14.22,$2.09,6.79
2019-11-30,14.44,$2.15,6.71
2019-08-31,13.91,$1.98,7.03
2019-05-31,12.67,$1.97,6.44
2019-02-28,14.35,$1.82,7.9
2018-11-30,13.07,$1.70,7.71
2018-08-31,14.42,$1.83,7.88
2018-05-31,11.94,$1.64,7.27
2018-02-28,12.63,$1.68,7.52
2017-11-30,13.51,$1.84,7.36
2017-08-31,12.08,$1.80,6.71
2017-05-31,10.05,$2.08,4.82
2017-02-28,10.12,$2.19,4.61
2016-11-30,9.89,$1.92,5.16
2016-08-31,10.05,$2.08,4.84
2016-05-31,10.11,$2.68,3.77
2016-02-29,10.84,$3.24,3.34
2015-11-30,10.88,$3.61,3.01
2015-08-31,8.8,$3.46,2.54
2015-05-31,8.97,$3.04,2.95
2015-02-28,7.35,$2.42,3.04
2014-11-30,6.92,$1.50,4.62
2014-08-31,7.41,$0.83,8.89
2014-05-31,7.69,$0.81,9.47
2014-02-28,7.93,$1.11,7.12
2013-11-30,9.21,$1.68,5.47
2013-08-31,8.76,$2.21,3.96
2013-05-31,8.33,$2.06,4.05
2013-02-28,7.63,$1.82,4.19
2012-11-30,7.24,$1.41,5.14
2012-08-31,6.87,$1.52,4.53
2012-05-31,6.62,$0.97,6.82
2012-02-29,7.71,$0.76,10.15
2011-11-30,6.75,$0.74,9.14
2011-08-31,7.13,$0.14,52.68
2011-05-31,8.51,$0.45,18.86
2011-02-28,7.17,$-0.04,0.0
2010-11-30,7.46,$0.17,43.98
2010-08-31,6.67,$0.87,7.69
2010-05-31,7.54,$1.33,5.67
2010-02-28,6.53,$2.42,2.7
2009-11-30,6.1,$3.82,1.6
