Willdan Price to Free Cash Flow Ratio Historical Data,Willdan Price to Free Cash Flow Ratio Historical Data,Willdan Price to Free Cash Flow Ratio Historical Data,Willdan Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,43.06,,9.63
2024-12-31,38.09,$4.47,8.52
2024-09-30,40.95,$3.22,12.74
2024-06-30,28.85,$2.87,10.07
2024-03-31,28.99,$2.93,9.9
2023-12-31,21.5,$2.16,9.96
2023-09-30,20.43,$1.38,14.78
2023-06-30,19.16,$1.57,12.17
2023-03-31,15.62,$1.79,8.74
2022-12-31,17.85,$-0.01,0.0
2022-09-30,14.81,$0.43,34.54
2022-06-30,27.58,$-0.19,0.0
2022-03-31,30.69,$-1.02,0.0
2021-12-31,35.2,$0.11,324.72
2021-09-30,35.59,$1.21,29.33
2021-06-30,37.64,$1.00,37.49
2021-03-31,41.05,$2.67,15.37
2020-12-31,41.7,$3.56,11.72
2020-09-30,25.51,$2.04,12.48
2020-06-30,25.01,$1.92,13.06
2020-03-31,21.37,$0.89,24.06
2019-12-31,31.78,$0.43,74.36
2019-09-30,35.08,$-0.37,0.0
2019-06-30,37.25,$0.95,39.41
2019-03-31,37.07,$2.10,17.68
2018-12-31,34.98,$0.57,61.85
2018-09-30,33.96,$2.11,16.06
2018-06-30,30.97,$0.73,42.35
2018-03-31,28.35,$0.45,63.61
2017-12-31,23.94,$0.97,24.65
2017-09-30,32.46,$0.59,54.98
2017-06-30,30.55,$2.22,13.75
2017-03-31,32.26,$2.34,13.81
2016-12-31,22.59,$2.33,9.7
2016-09-30,17.55,$1.96,8.97
2016-06-30,10.62,$1.24,8.55
2016-03-31,9.65,$0.78,12.42
2015-12-31,8.38,$0.69,12.07
2015-09-30,10.14,$1.26,8.05
2015-06-30,11.18,$1.13,9.92
2015-03-31,15.84,$0.55,28.95
2014-12-31,13.49,$1.47,9.15
2014-09-30,14.46,$0.32,45.41
2014-06-30,8.67,$0.39,22.09
2014-03-31,4.53,$0.65,6.93
2013-12-31,5.31,$0.12,42.62
2013-09-30,3.71,$0.52,7.13
2013-06-30,3.01,$0.76,3.95
2013-03-31,2.21,$0.80,2.75
2012-12-31,2.22,$0.59,3.74
2012-09-30,1.7,$0.08,21.66
2012-06-30,1.51,$-0.23,0.0
2012-03-31,3.65,$-0.33,0.0
2011-12-31,3.96,$-0.15,0.0
2011-09-30,3.73,$0.16,22.95
2011-06-30,3.95,$0.37,10.72
2011-03-31,4.03,$0.19,20.95
2010-12-31,4.0,$-0.08,0.0
2010-09-30,3.4,$0.16,21.78
2010-06-30,2.76,$-0.19,0.0
2010-03-31,2.16,$-0.18,0.0
2009-12-31,2.38,$0.25,9.69
