FuelCell Energy Price to Free Cash Flow Ratio Historical Data,FuelCell Energy Price to Free Cash Flow Ratio Historical Data,FuelCell Energy Price to Free Cash Flow Ratio Historical Data,FuelCell Energy Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,5.24,,0.0
2025-01-31,7.68,$-10.39,0.0
2024-10-31,10.32,$-12.87,0.0
2024-07-31,15.19,$-15.45,0.0
2024-04-30,27.83,$-15.81,0.0
2024-01-31,36.0,$-17.02,0.0
2023-10-31,32.7,$-16.63,0.0
2023-07-31,65.7,$-16.12,0.0
2023-04-30,56.4,$-14.14,0.0
2023-01-31,109.8,$-11.91,0.0
2022-10-31,93.6,$-12.44,0.0
2022-07-31,107.7,$-13.45,0.0
2022-04-30,122.4,$-14.55,0.0
2022-01-31,127.2,$-14.73,0.0
2021-10-31,239.7,$-12.89,0.0
2021-07-31,189.9,$-11.89,0.0
2021-04-30,291.3,$-11.06,0.0
2021-01-31,622.8,$-10.45,0.0
2020-10-31,60.0,$-9.29,0.0
2020-07-31,66.9,$-13.78,0.0
2020-04-30,60.6,$89.54,0.68
2020-01-31,47.7,$57.17,0.83
2019-10-31,7.15,$-35.11,0.0
2019-07-31,10.16,$-152.26,0.0
2019-04-30,94.32,$-347.33,0.0
2019-01-31,184.75,$-409.82,0.0
2018-10-31,304.31,$-152.14,0.0
2018-07-31,468.0,$-273.01,0.0
2018-04-30,669.6,$-206.27,0.0
2018-01-31,601.2,$-264.53,0.0
2017-10-31,788.4,$-750.19,0.0
2017-07-31,558.0,$-908.93,0.0
2017-04-30,414.0,"$-1,186.68",0.0
2017-01-31,540.0,"$-1,460.49",0.0
2016-10-31,1206.0,"$-1,066.08",0.0
2016-07-31,1940.4,$-845.62,0.0
2016-04-30,2145.6,$-877.60,0.0
2016-01-31,1918.8,$-622.18,0.0
2015-10-31,3821.04,$-753.01,0.0
2015-07-31,3636.58,"$-1,107.40",0.0
2015-04-30,5313.6,"$-1,055.85",0.0
2015-01-31,5184.0,"$-1,068.93",0.0
2014-10-31,8726.4,"$-1,136.54",0.0
2014-07-31,10713.6,"$-1,094.12",0.0
2014-04-30,9806.4,"$-1,159.29",0.0
2014-01-31,6177.6,"$-1,345.48",0.0
2013-10-31,5788.8,$-538.28,0.0
2013-07-31,5248.8,$-578.69,0.0
2013-04-30,4536.0,$-426.04,0.0
2013-01-31,4708.8,$-389.16,0.0
2012-10-31,4019.76,"$-1,650.65",0.0
2012-07-31,4492.8,$-872.13,0.0
2012-04-30,5356.8,$-651.75,0.0
2012-01-31,4233.6,$-901.78,0.0
2011-10-31,4622.4,$-411.41,0.0
2011-07-31,5745.6,"$-1,218.64",0.0
2011-04-30,7387.2,"$-1,471.90",0.0
2011-01-31,7560.0,"$-1,493.68",0.0
2010-10-31,4924.8,"$-1,726.63",0.0
2010-07-31,5659.2,"$-1,988.08",0.0
2010-04-30,11880.0,"$-2,292.69",0.0
2010-01-31,12182.4,"$-2,164.43",0.0
2009-10-31,14385.6,"$-4,052.67",0.0
