Farmers National Banc Price to Free Cash Flow Ratio Historical Data,Farmers National Banc Price to Free Cash Flow Ratio Historical Data,Farmers National Banc Price to Free Cash Flow Ratio Historical Data,Farmers National Banc Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,13.29,,9.02
2024-12-31,14.22,$1.47,9.65
2024-09-30,14.95,$1.57,9.5
2024-06-30,12.22,$1.48,8.23
2024-03-31,12.88,$1.54,8.38
2023-12-31,13.76,$1.59,8.66
2023-09-30,10.87,$1.89,5.75
2023-06-30,11.47,$2.00,5.73
2023-03-31,11.56,$2.35,4.92
2022-12-31,12.75,$2.37,5.39
2022-09-30,11.69,$2.16,5.41
2022-06-30,13.24,$2.17,6.1
2022-03-31,14.9,$1.97,7.57
2021-12-31,16.06,$1.83,8.77
2021-09-30,13.49,$2.18,6.2
2021-06-30,13.22,$1.85,7.15
2021-03-31,14.15,$1.72,8.24
2020-12-31,11.17,$1.62,6.91
2020-09-30,9.11,$1.28,7.1
2020-06-30,9.8,$1.45,6.77
2020-03-31,9.52,$1.31,7.24
2019-12-31,13.23,$1.35,9.82
2019-09-30,11.67,$1.32,8.84
2019-06-30,11.87,$1.29,9.18
2019-03-31,10.97,$1.19,9.23
2018-12-31,10.07,$1.37,7.35
2018-09-30,12.02,$1.29,9.33
2018-06-30,12.46,$1.17,10.65
2018-03-31,10.77,$1.23,8.76
2017-12-31,11.42,$1.09,10.49
2017-09-30,11.6,$1.13,10.27
2017-06-30,11.13,$1.10,10.13
2017-03-31,10.97,$1.02,10.77
2016-12-31,10.82,$0.89,12.17
2016-09-30,8.19,$0.52,15.78
2016-06-30,6.66,$0.40,16.72
2016-03-31,6.72,$0.30,22.48
2015-12-31,6.45,$0.25,25.46
2015-09-30,6.14,$0.45,13.75
2015-06-30,6.14,$0.46,13.35
2015-03-31,6.08,$0.65,9.37
2014-12-31,6.17,$0.60,10.22
2014-09-30,5.89,$0.38,15.61
2014-06-30,5.72,$0.99,5.76
2014-03-31,5.61,$0.66,8.57
2013-12-31,4.77,$0.75,6.32
2013-09-30,4.57,$1.03,4.44
2013-06-30,4.53,$0.37,12.33
2013-03-31,4.53,$0.61,7.43
2012-12-31,4.43,$0.41,10.71
2012-09-30,4.57,$0.24,19.04
2012-06-30,4.39,$0.35,12.58
2012-03-31,4.55,$0.32,14.25
2011-12-31,3.43,$0.57,6.03
2011-09-30,3.09,$0.75,4.09
2011-06-30,3.38,$0.93,3.63
2011-03-31,2.99,$1.25,2.4
2010-12-31,2.45,$1.26,1.93
2010-09-30,2.41,$0.81,2.97
2010-06-30,2.79,$0.61,4.59
2010-03-31,2.93,$0.29,10.2
2009-12-31,3.0,$0.32,9.49
