Zoetis Price to Free Cash Flow Ratio Historical Data,Zoetis Price to Free Cash Flow Ratio Historical Data,Zoetis Price to Free Cash Flow Ratio Historical Data,Zoetis Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,163.16,,32.28
2024-12-31,162.93,$5.05,32.24
2024-09-30,194.91,$5.06,38.53
2024-06-30,172.53,$4.58,37.68
2024-03-31,167.92,$3.80,44.15
2023-12-31,195.43,$3.52,55.59
2023-09-30,171.86,$3.22,53.43
2023-06-30,169.74,$2.75,61.63
2023-03-31,163.7,$3.12,52.5
2022-12-31,143.8,$2.82,50.97
2022-09-30,145.2,$2.69,54.07
2022-06-30,167.99,$3.01,55.78
2022-03-31,184.0,$3.38,54.45
2021-12-31,237.7,$3.65,65.2
2021-09-30,188.88,$3.75,50.31
2021-06-30,181.09,$3.56,50.93
2021-03-31,152.8,$3.52,43.43
2020-12-31,160.33,$3.54,45.3
2020-09-30,160.01,$3.22,49.67
2020-06-30,132.41,$3.13,42.36
2020-03-31,113.54,$2.84,40.02
2019-12-31,127.5,$2.81,45.3
2019-09-30,119.86,$2.96,40.49
2019-06-30,109.03,$3.12,35.0
2019-03-31,96.55,$3.07,31.45
2018-12-31,81.88,$3.10,26.44
2018-09-30,87.52,$3.22,27.16
2018-06-30,81.31,$3.03,26.79
2018-03-31,79.59,$2.90,27.47
2017-12-31,68.55,$2.35,29.17
2017-09-30,60.58,$1.67,36.28
2017-06-30,59.27,$1.24,47.71
2017-03-31,50.52,$1.17,43.12
2016-12-31,50.57,$1.18,42.92
2016-09-30,49.04,$1.12,43.97
2016-06-30,44.75,$1.05,42.64
2016-03-31,41.62,$1.01,41.18
2015-12-31,44.9,$0.88,50.99
2015-09-30,38.51,$1.16,33.21
2015-06-30,45.02,$0.98,45.91
2015-03-31,43.14,$1.07,40.17
2014-12-31,40.03,$0.91,44.16
2014-09-30,34.3,$0.74,46.57
2014-06-30,29.9,$0.73,40.78
2014-03-31,26.75,$0.36,74.77
2013-12-31,30.14,$1.01,29.8
