Baozun Price to Free Cash Flow Ratio Historical Data,Baozun Price to Free Cash Flow Ratio Historical Data,Baozun Price to Free Cash Flow Ratio Historical Data,Baozun Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,3.06,,4.56
2024-09-30,3.58,$0.67,5.34
2024-06-30,2.34,$0.34,6.88
2024-03-31,2.3,$0.67,3.43
2023-12-31,2.74,$0.67,4.09
2023-09-30,3.1,$0.42,7.44
2023-06-30,3.99,$0.42,9.57
2023-03-31,6.02,$0.42,14.44
2022-12-31,5.3,$0.42,12.71
2022-09-30,6.28,$-0.83,0.0
2022-06-30,10.94,$-0.83,0.0
2022-03-31,8.58,$-0.83,0.0
2021-12-31,13.9,$-0.83,0.0
2021-09-30,17.53,$0.48,36.6
2021-06-30,35.44,$-0.43,0.0
2021-03-31,38.14,$0.48,79.62
2020-12-31,34.35,$0.48,71.71
2020-09-30,32.49,$0.51,63.96
2020-06-30,38.45,$1.42,27.07
2020-03-31,27.94,$0.51,55.0
2019-12-31,33.12,$0.51,65.2
2019-09-30,42.7,$-0.54,0.0
2019-06-30,49.86,$-0.54,0.0
2019-03-31,41.54,$-0.54,0.0
2018-12-31,29.21,$-0.54,0.0
2018-09-30,48.58,$-1.14,0.0
2018-06-30,54.7,$-1.14,0.0
2018-03-31,45.88,$-1.14,0.0
2017-12-31,31.56,$-1.14,0.0
2017-09-30,32.76,$-0.17,0.0
2017-06-30,22.17,$-0.17,0.0
2017-03-31,14.94,$-0.17,0.0
2016-12-31,12.07,$-0.17,0.0
2016-09-30,15.09,$-0.20,0.0
2016-06-30,6.49,$-0.20,0.0
2016-03-31,5.84,$-0.20,0.0
