Ocean Biomedical Price to Free Cash Flow Ratio Historical Data,Ocean Biomedical Price to Free Cash Flow Ratio Historical Data,Ocean Biomedical Price to Free Cash Flow Ratio Historical Data,Ocean Biomedical Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,0.06,,0.0
2024-09-30,0.98,$-0.10,0.0
2024-06-30,1.22,$-0.11,0.0
2024-03-31,3.79,$-0.27,0.0
2023-12-31,0.66,$-0.36,0.0
2023-09-30,3.9,$-0.32,0.0
2023-06-30,6.01,$-0.30,0.0
2023-03-31,6.64,$-0.13,0.0
2022-12-31,10.4,$-0.04,0.0
2022-09-30,10.19,$-0.04,0.0
