Duke Energy Price to Free Cash Flow Ratio Historical Data,Duke Energy Price to Free Cash Flow Ratio Historical Data,Duke Energy Price to Free Cash Flow Ratio Historical Data,Duke Energy Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,120.16,,1931.83
2024-12-31,107.74,$0.06,1732.15
2024-09-30,114.24,$-1.25,0.0
2024-06-30,98.39,$-1.33,0.0
2024-03-31,94.0,$-2.33,0.0
2023-12-31,93.28,$-3.54,0.0
2023-09-30,83.89,$-5.82,0.0
2023-06-30,84.34,$-8.88,0.0
2023-03-31,89.74,$-8.24,0.0
2022-12-31,94.84,$-7.06,0.0
2022-09-30,84.76,$-5.88,0.0
2022-06-30,96.8,$-2.27,0.0
2022-03-31,99.91,$-2.67,0.0
2021-12-31,92.94,$-1.85,0.0
2021-09-30,85.63,$-0.37,0.0
2021-06-30,85.82,$-0.04,0.0
2021-03-31,83.14,$0.15,564.8
2020-12-31,78.03,$-1.42,0.0
2020-09-30,74.7,$-1.51,0.0
2020-06-30,66.61,$-3.06,0.0
2020-03-31,66.67,$-3.95,0.0
2019-12-31,74.49,$-4.00,0.0
2019-09-30,77.45,$-4.95,0.0
2019-06-30,70.55,$-4.90,0.0
2019-03-31,71.19,$-3.90,0.0
2018-12-31,67.55,$-3.11,0.0
2018-09-30,61.97,$-2.33,0.0
2018-06-30,60.55,$-1.95,0.0
2018-03-31,58.62,$-1.73,0.0
2017-12-31,62.91,$-2.04,0.0
2017-09-30,62.14,$-3.25,0.0
2017-06-30,61.27,$-2.87,0.0
2017-03-31,59.5,$-2.86,0.0
2016-12-31,55.69,$-1.50,0.0
2016-09-30,56.77,$-0.67,0.0
2016-06-30,60.24,$-0.07,0.0
2016-03-31,56.04,$-0.06,0.0
2015-12-31,49.07,$-0.10,0.0
2015-09-30,48.85,$0.80,61.16
2015-06-30,47.44,$1.18,40.21
2015-03-31,51.03,$1.52,33.54
2014-12-31,54.99,$1.70,32.34
2014-09-30,48.73,$1.60,30.45
2014-06-30,47.82,$1.29,37.15
2014-03-31,45.41,$1.82,24.96
2013-12-31,43.52,$1.21,35.89
2013-09-30,41.65,$0.98,42.49
2013-06-30,41.63,$0.32,132.17
2013-03-31,44.3,$-0.59,0.0
2012-12-31,38.51,$-0.45,0.0
2012-09-30,38.62,$-1.38,0.0
2012-06-30,40.77,$-1.53,0.0
2012-03-31,36.72,$-1.72,0.0
2011-12-31,37.99,$-1.56,0.0
2011-09-30,34.1,$-1.19,0.0
2011-06-30,31.66,$-0.93,0.0
2011-03-31,30.13,$-0.75,0.0
2010-12-31,29.17,$-0.78,0.0
2010-09-30,28.62,$-0.73,0.0
2010-06-30,25.49,$-0.65,0.0
2010-03-31,25.62,$-0.71,0.0
2009-12-31,26.63,$-2.25,0.0
