XTI Aerospace Price to Free Cash Flow Ratio Historical Data,XTI Aerospace Price to Free Cash Flow Ratio Historical Data,XTI Aerospace Price to Free Cash Flow Ratio Historical Data,XTI Aerospace Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,2.62,,0.0
2024-09-30,0.19,"$-12,221.42",0.0
2024-06-30,0.44,"$-12,338.93",0.0
2024-03-31,1.73,"$-12,389.34",0.0
2023-12-31,5.62,"$-12,300.33",0.0
2023-09-30,11.19,"$-1,699.03",0.0
2023-06-30,17.9,"$-1,620.55",0.0
2023-03-31,43.0,"$-1,552.10",0.0
2022-12-31,170.0,"$-1,530.05",0.0
2022-09-30,922.5,$-22.71,0.0
2022-06-30,1275.0,$-35.73,0.0
2022-03-31,1950.0,$-33.52,0.0
2021-12-31,4500.0,$-25.50,0.0
2021-09-30,6240.0,$-15.71,0.0
2021-06-30,8775.0,$-0.44,0.0
2021-03-31,9000.0,$0.09,104408.35
2020-12-31,7650.0,$-0.78,0.0
2020-09-30,8250.0,$2.68,3074.0
2020-06-30,10275.0,$18.18,565.12
2020-03-31,8925.0,$20.83,428.4
2019-12-31,36787.5,$-15.74,0.0
2019-09-30,39285.0,"$-1,604.24",0.0
2019-06-30,213873.73,"$-1,591.72",0.0
2019-03-31,274994.98,"$-1,539.36",0.0
2018-12-31,1076624.91,"$-1,607.97",0.0
2018-09-30,2717549.77,$233.68,11629.48
2018-06-30,2182949.81,$77.76,28074.68
2018-03-31,14512498.77,$15.31,948089.37
2017-12-31,85049988.52,$137.75,617420.99
2017-09-30,100000000.0,$-201.21,0.0
2017-06-30,100000000.0,$-74.31,0.0
2017-03-31,100000000.0,$-67.71,0.0
2016-12-31,100000000.0,$-84.31,0.0
2016-09-30,100000000.0,$-8.23,0.0
2016-06-30,100000000.0,$-7.30,0.0
2016-03-31,100000000.0,$-7.05,0.0
2015-12-31,100000000.0,$-6.89,0.0
2015-09-30,100000000.0,$-0.21,0.0
2015-06-30,100000000.0,$-0.25,0.0
2015-03-31,100000000.0,$-0.41,0.0
2014-12-31,100000000.0,$-0.32,0.0
2014-09-30,100000000.0,$-0.39,0.0
2014-06-30,100000000.0,$-0.36,0.0
2014-03-31,100000000.0,$-0.17,0.0
2013-12-31,100000000.0,$-0.23,0.0
2013-09-30,100000000.0,$-0.20,0.0
2013-06-30,100000000.0,$-0.22,0.0
