Northeast Bancorp Price to Free Cash Flow Ratio Historical Data,Northeast Bancorp Price to Free Cash Flow Ratio Historical Data,Northeast Bancorp Price to Free Cash Flow Ratio Historical Data,Northeast Bancorp Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,92.59,,33.86
2019-03-31,20.56,$2.73,7.52
2018-12-31,16.63,$2.61,6.38
2018-09-30,21.56,$2.16,9.97
2018-06-30,21.65,$2.02,10.7
2018-03-31,20.35,$3.60,5.64
2017-12-31,22.97,$3.36,6.83
2017-09-30,25.93,$3.21,8.08
2017-06-30,20.17,$3.72,5.42
2017-03-31,15.16,$-1.66,0.0
2016-12-31,12.97,$-0.40,0.0
2016-09-30,11.45,$-0.13,0.0
2016-06-30,11.12,$0.41,27.01
2016-03-31,10.47,$4.46,2.35
2015-12-31,10.36,$3.02,3.43
2015-09-30,10.38,$2.47,4.2
2015-06-30,9.79,$2.07,4.74
2015-03-31,9.08,$0.36,25.24
2014-12-31,9.47,$-0.15,0.0
2014-09-30,9.09,$-0.83,0.0
2014-06-30,9.38,$-0.64,0.0
2014-03-31,9.16,$-0.45,0.0
2013-12-31,9.29,$-0.36,0.0
2013-09-30,9.69,$0.57,16.98
2013-06-30,9.21,$-0.15,0.0
2013-03-31,8.9,$-0.63,0.0
2012-12-31,8.55,$-0.71,0.0
2012-09-30,8.79,$-1.59,0.0
2012-06-30,7.77,$-2.19,0.0
2012-03-31,11.14,$-1.14,0.0
2011-12-31,11.36,$-3.96,0.0
2011-09-30,11.55,$-6.17,0.0
2011-06-30,12.21,$-0.65,0.0
2011-03-31,12.8,$-5.91,0.0
2010-12-31,13.54,$-1.82,0.0
2010-09-30,10.46,$0.99,10.52
2010-06-30,11.0,$-3.53,0.0
2010-03-31,12.04,$1.23,9.75
2009-12-31,7.21,$0.78,9.3
