Olin Price to Free Cash Flow Ratio Historical Data,Olin Price to Free Cash Flow Ratio Historical Data,Olin Price to Free Cash Flow Ratio Historical Data,Olin Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,24.88,,9.65
2024-12-31,33.8,$2.58,13.11
2024-09-30,47.75,$4.56,10.47
2024-06-30,46.7,$4.68,9.98
2024-03-31,58.03,$6.43,9.02
2023-12-31,53.05,$5.96,8.91
2023-09-30,48.92,$5.30,9.22
2023-06-30,50.13,$7.71,6.5
2023-03-31,53.94,$9.34,5.78
2022-12-31,51.28,$11.45,4.48
2022-09-30,41.38,$12.06,3.43
2022-06-30,44.5,$11.28,3.95
2022-03-31,50.1,$10.04,4.99
2021-12-31,54.9,$9.47,5.8
2021-09-30,45.9,$7.14,6.43
2021-06-30,43.82,$5.35,8.2
2021-03-31,35.81,$3.12,11.48
2020-12-31,23.02,$0.85,27.1
2020-09-30,11.49,$1.06,10.87
2020-06-30,10.47,$0.45,23.18
2020-03-31,10.47,$0.50,20.78
2019-12-31,15.28,$1.43,10.7
2019-09-30,16.41,$2.14,7.66
2019-06-30,19.0,$2.87,6.62
2019-03-31,19.87,$3.18,6.24
2018-12-31,17.13,$3.12,5.49
2018-09-30,21.67,$2.55,8.51
2018-06-30,24.08,$2.20,10.96
2018-03-31,25.33,$1.98,12.77
2017-12-31,29.46,$2.13,13.8
2017-09-30,28.2,$2.18,12.94
2017-06-30,24.77,$2.38,10.41
2017-03-31,26.71,$2.49,10.72
2016-12-31,20.67,$2.22,9.33
2016-09-30,16.41,$1.81,9.07
2016-06-30,19.68,$1.11,17.75
2016-03-31,13.64,$1.32,10.31
2015-12-31,13.35,$1.09,12.28
2015-09-30,12.87,$1.26,10.22
2015-06-30,20.46,$1.36,15.05
2015-03-31,24.15,$1.06,22.71
2014-12-31,17.04,$1.17,14.6
2014-09-30,18.74,$1.36,13.82
2014-06-30,19.83,$2.87,6.9
2014-03-31,20.19,$3.35,6.02
2013-12-31,20.93,$3.30,6.35
2013-09-30,16.6,$3.65,4.55
2013-06-30,17.07,$1.86,9.16
2013-03-31,17.85,$0.96,18.68
2012-12-31,15.15,$0.45,33.62
2012-09-30,15.1,$-0.13,0.0
2012-06-30,14.38,$-0.04,0.0
2012-03-31,14.83,$0.00,0.0
2011-12-31,13.28,$0.32,41.1
2011-09-30,12.04,$0.54,22.41
2011-06-30,14.98,$0.44,33.81
2011-03-31,15.03,$0.29,52.04
2010-12-31,13.32,$0.42,31.96
2010-09-30,12.95,$0.85,15.18
2010-06-30,11.51,$0.99,11.59
2010-03-31,12.35,$1.41,8.78
2009-12-31,10.89,$0.90,12.04
