Nyxoah SA Price to Free Cash Flow Ratio Historical Data,Nyxoah SA Price to Free Cash Flow Ratio Historical Data,Nyxoah SA Price to Free Cash Flow Ratio Historical Data,Nyxoah SA Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,11.47,,0.0
2024-09-30,9.55,$-1.69,0.0
2024-06-30,6.97,$-1.79,0.0
2024-03-31,13.49,$-1.84,0.0
2023-12-31,4.64,$-1.83,0.0
2023-09-30,7.05,$-1.82,0.0
2023-06-30,8.01,$-1.68,0.0
2023-03-31,7.47,$-1.42,0.0
2022-12-31,4.99,$-1.21,0.0
2022-09-30,6.3,$-0.74,0.0
