Mineralys Therapeutics Price to Free Cash Flow Ratio Historical Data,Mineralys Therapeutics Price to Free Cash Flow Ratio Historical Data,Mineralys Therapeutics Price to Free Cash Flow Ratio Historical Data,Mineralys Therapeutics Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,16.73,,0.0
2024-12-31,12.31,$-3.43,0.0
2024-09-30,12.11,$-2.93,0.0
2024-06-30,11.7,$-2.41,0.0
2024-03-31,12.91,$-2.15,0.0
2023-12-31,8.6,$-2.24,0.0
