ARKO Price to Free Cash Flow Ratio Historical Data,ARKO Price to Free Cash Flow Ratio Historical Data,ARKO Price to Free Cash Flow Ratio Historical Data,ARKO Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,4.07,,2.95
2024-12-31,6.59,$1.38,4.77
2024-09-30,6.99,$1.69,4.14
2024-06-30,6.21,$1.18,5.28
2024-03-31,5.62,$1.01,5.57
2023-12-31,8.09,$2.80,2.89
2023-09-30,6.99,$4.22,1.65
2023-06-30,7.74,$5.38,1.44
2023-03-31,8.23,$4.78,1.72
2022-12-31,8.37,$3.23,2.59
2022-09-30,9.04,$2.52,3.59
2022-06-30,7.84,$1.53,5.13
2022-03-31,8.73,$1.91,4.57
2021-12-31,8.39,$1.74,4.83
2021-09-30,9.66,$1.27,7.62
2021-06-30,8.79,$1.13,7.79
2021-03-31,9.51,$1.62,5.89
2020-12-31,8.61,$1.84,4.69
2020-09-30,9.57,$1.38,6.96
2020-06-30,9.9,$1.18,8.41
