Upexi Price to Free Cash Flow Ratio Historical Data,Upexi Price to Free Cash Flow Ratio Historical Data,Upexi Price to Free Cash Flow Ratio Historical Data,Upexi Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,2.53,,0.73
2024-12-31,3.51,$3.48,1.01
2024-09-30,0.2,$4.81,0.04
2024-06-30,0.36,$-1.01,0.0
2024-03-31,0.58,$-6.26,0.0
2023-12-31,1.16,$-8.06,0.0
2023-09-30,1.73,$4.48,0.39
2023-06-30,2.25,$5.32,0.42
2023-03-31,4.05,$4.88,0.83
2022-12-31,3.0,$10.41,0.29
2022-09-30,3.87,$-10.89,0.0
2022-06-30,4.2,$-6.94,0.0
2022-03-31,5.09,$-1.66,0.0
