Comerica Price to Free Cash Flow Ratio Historical Data,Comerica Price to Free Cash Flow Ratio Historical Data,Comerica Price to Free Cash Flow Ratio Historical Data,Comerica Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,59.02,,17.65
2024-12-31,61.85,$3.34,18.5
2024-09-30,59.28,$14.23,4.17
2024-06-30,49.89,$5.01,9.96
2024-03-31,52.94,$3.07,17.23
2023-12-31,52.97,$8.26,6.42
2023-09-30,38.95,$4.58,8.5
2023-06-30,39.07,$9.07,4.31
2023-03-31,39.38,$12.99,3.03
2022-12-31,59.65,$4.18,14.27
2022-09-30,62.79,$2.83,22.18
2022-06-30,64.26,$1.37,46.85
2022-03-31,78.47,$-2.35,0.0
2021-12-31,74.94,$4.12,18.2
2021-09-30,68.78,$2.44,28.16
2021-06-30,60.38,$0.69,87.69
2021-03-31,60.15,$2.21,27.18
2020-12-31,46.39,$6.06,7.65
2020-09-30,31.36,$5.97,5.25
2020-06-30,30.72,$9.20,3.34
2020-03-31,23.25,$11.35,2.05
2019-12-31,55.78,$6.65,8.39
2019-09-30,50.83,$9.07,5.6
2019-06-30,55.38,$8.22,6.74
2019-03-31,55.37,$7.14,7.75
2018-12-31,51.45,$8.92,5.77
2018-09-30,66.99,$6.45,10.38
2018-06-30,67.09,$5.52,12.15
2018-03-31,70.53,$5.46,12.91
2017-12-31,63.63,$5.71,11.15
2017-09-30,55.7,$4.89,11.4
2017-06-30,53.26,$4.62,11.54
2017-03-31,49.7,$3.13,15.87
2016-12-31,49.2,$2.21,22.27
2016-09-30,34.07,$2.77,12.3
2016-06-30,29.46,$3.33,8.86
2016-03-31,26.99,$3.66,7.38
2015-12-31,29.65,$4.12,7.19
2015-09-30,28.98,$3.46,8.38
2015-06-30,36.01,$3.25,11.08
2015-03-31,31.54,$3.74,8.44
2014-12-31,32.59,$3.08,10.6
2014-09-30,34.54,$4.96,6.97
2014-06-30,34.61,$4.47,7.74
2014-03-31,35.6,$3.70,9.62
2013-12-31,32.55,$3.93,8.29
2013-09-30,26.81,$1.13,23.7
2013-06-30,27.06,$2.06,13.14
2013-03-31,24.31,$3.70,6.58
2012-12-31,20.42,$3.21,6.35
2012-09-30,20.79,$3.59,5.79
2012-06-30,20.47,$3.33,6.14
2012-03-31,21.46,$3.59,5.98
2011-12-31,17.05,$3.63,4.7
2011-09-30,15.12,$6.15,2.46
2011-06-30,22.67,$6.07,3.73
2011-03-31,24.0,$6.39,3.76
2010-12-31,27.54,$7.43,3.71
2010-09-30,24.16,$4.92,4.91
2010-06-30,23.92,$4.70,5.09
2010-03-31,24.68,$3.80,6.5
2009-12-31,19.16,$0.11,167.89
