Carriage Services Price to Free Cash Flow Ratio Historical Data,Carriage Services Price to Free Cash Flow Ratio Historical Data,Carriage Services Price to Free Cash Flow Ratio Historical Data,Carriage Services Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,38.32,,16.49
2024-12-31,39.85,$2.32,17.14
2024-09-30,32.73,$2.58,12.68
2024-06-30,26.66,$2.73,9.78
2024-03-31,26.74,$3.43,7.8
2023-12-31,24.62,$3.72,6.61
2023-09-30,27.68,$3.46,8.01
2023-06-30,31.7,$3.12,10.17
2023-03-31,29.67,$3.03,9.79
2022-12-31,26.68,$2.22,12.0
2022-09-30,31.01,$2.18,14.24
2022-06-30,38.12,$2.71,14.09
2022-03-31,51.13,$2.58,19.82
2021-12-31,61.64,$3.25,18.97
2021-09-30,42.56,$3.51,12.13
2021-06-30,35.19,$3.94,8.92
2021-03-31,33.41,$4.35,7.67
2020-12-31,29.65,$3.75,7.92
2020-09-30,21.04,$3.44,6.12
2020-06-30,17.03,$2.27,7.51
2020-03-31,15.1,$1.79,8.44
2019-12-31,23.87,$1.60,14.92
2019-09-30,19.0,$1.76,10.77
2019-06-30,17.61,$1.51,11.66
2019-03-31,17.77,$1.62,10.94
2018-12-31,14.25,$1.93,7.38
2018-09-30,19.72,$2.19,9.01
2018-06-30,22.4,$2.16,10.39
2018-03-31,25.16,$2.11,11.94
2017-12-31,23.32,$1.63,14.33
2017-09-30,23.15,$1.76,13.17
2017-06-30,24.33,$1.76,13.85
2017-03-31,24.43,$1.61,15.21
2016-12-31,25.75,$1.79,14.36
2016-09-30,21.22,$1.10,19.36
2016-06-30,21.2,$1.16,18.32
2016-03-31,19.33,$0.96,20.21
2015-12-31,21.53,$0.86,25.17
2015-09-30,19.27,$0.97,19.88
2015-06-30,21.29,$0.88,24.29
2015-03-31,21.26,$1.40,15.14
2014-12-31,18.63,$0.71,26.39
2014-09-30,15.39,$0.50,30.58
2014-06-30,15.2,$0.48,31.61
2014-03-31,16.15,$0.61,26.67
2013-12-31,17.28,$1.30,13.27
2013-09-30,17.14,$1.75,9.8
2013-06-30,14.95,$1.44,10.42
2013-03-31,18.72,$1.15,16.34
2012-12-31,10.44,$0.84,12.42
2012-09-30,8.49,$0.57,14.79
2012-06-30,7.28,$0.92,7.87
2012-03-31,6.58,$1.05,6.3
2011-12-31,4.86,$1.11,4.37
2011-09-30,5.12,$1.27,4.04
2011-06-30,4.87,$0.91,5.38
2011-03-31,4.72,$0.92,5.15
2010-12-31,4.16,$0.88,4.7
2010-09-30,4.29,$0.84,5.11
2010-06-30,3.99,$0.76,5.27
2010-03-31,3.94,$0.57,6.95
2009-12-31,3.37,$0.38,8.8
