HSBC Price to Free Cash Flow Ratio Historical Data,HSBC Price to Free Cash Flow Ratio Historical Data,HSBC Price to Free Cash Flow Ratio Historical Data,HSBC Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,57.61,,inf
2024-09-30,44.69,0,0.0
2024-03-31,37.15,0,0.0
2023-09-30,35.31,0,0.0
2023-03-31,29.77,0,0.0
2022-09-30,22.05,0,0.0
2022-03-31,28.55,0,0.0
2021-09-30,21.21,0,0.0
2021-03-31,23.33,0,0.0
2020-09-30,15.29,0,0.0
2020-03-31,21.87,0,0.0
2019-09-30,29.48,0,0.0
2019-03-31,30.89,0,0.0
2018-09-30,32.26,0,0.0
2018-03-31,34.23,$17.08,2.0
2017-09-30,34.42,$-0.07,0.0
2017-03-31,27.83,$17.08,1.63
2016-12-31,26.71,$17.08,1.56
2016-09-30,24.68,$-0.63,0.0
2016-06-30,20.25,$12.99,1.56
2016-03-31,19.82,$-0.63,0.0
2015-12-31,24.34,$-0.63,0.0
2015-09-30,23.06,$-5.97,0.0
2015-06-30,26.97,$2.72,9.92
2015-03-31,25.37,$-5.97,0.0
2014-12-31,27.5,$-5.97,0.0
2014-09-30,29.33,$6.48,4.53
2014-06-30,29.02,$-3.56,0.0
2014-03-31,28.76,$6.48,4.44
2013-12-31,30.61,$6.48,4.73
2013-09-30,29.86,$-5.12,0.0
2013-06-30,28.29,$-2.85,0.0
2013-03-31,28.83,$-5.12,0.0
2012-12-31,28.21,$-5.12,0.0
2012-09-30,24.47,$22.03,1.11
2012-06-30,23.01,$-25.19,0.0
2012-03-31,22.9,$22.03,1.04
2011-12-31,19.36,$22.03,0.88
2011-09-30,19.09,$16.26,1.17
2011-06-30,24.66,$-1.73,0.0
2011-03-31,25.52,$16.26,1.57
2010-12-31,24.84,$16.26,1.53
2010-09-30,24.44,0,0.0
