Bausch + Lomb Price to Free Cash Flow Ratio Historical Data,Bausch + Lomb Price to Free Cash Flow Ratio Historical Data,Bausch + Lomb Price to Free Cash Flow Ratio Historical Data,Bausch + Lomb Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,15.75,,0.0
2024-12-31,18.06,$-0.17,0.0
2024-09-30,19.29,$-0.17,0.0
2024-06-30,14.52,$-0.39,0.0
2024-03-31,17.3,$-0.37,0.0
2023-12-31,17.06,$-0.56,0.0
2023-09-30,16.95,$-0.06,0.0
2023-06-30,20.07,$-0.16,0.0
2023-03-31,17.41,$0.22,79.24
