Prologis Price to Free Cash Flow Ratio Historical Data,Prologis Price to Free Cash Flow Ratio Historical Data,Prologis Price to Free Cash Flow Ratio Historical Data,Prologis Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,112.07,,46.82
2024-12-31,105.7,$2.39,44.16
2024-09-30,125.18,$0.42,300.47
2024-06-30,110.51,$2.02,54.84
2024-03-31,127.03,$-1.01,0.0
2023-12-31,129.08,$-1.21,0.0
2023-09-30,107.96,$-0.63,0.0
2023-06-30,117.15,$-2.04,0.0
2023-03-31,118.35,$-1.37,0.0
2022-12-31,106.16,$0.04,2973.76
2022-09-30,95.01,$-0.41,0.0
2022-06-30,109.31,$0.28,384.89
2022-03-31,149.01,$2.73,54.67
2021-12-31,154.58,$2.30,67.2
2021-09-30,114.71,$2.52,45.54
2021-06-30,108.8,$2.68,40.53
2021-03-31,95.99,$2.66,36.1
2020-12-31,89.7,$2.24,40.07
2020-09-30,90.04,$2.38,37.77
2020-06-30,83.05,$2.06,40.37
2020-03-31,71.08,$2.29,31.0
2019-12-31,78.25,$2.25,34.81
2019-09-30,74.36,$2.53,29.34
2019-06-30,69.46,$2.09,33.26
2019-03-31,61.98,$1.44,43.04
2018-12-31,50.21,$1.58,31.74
2018-09-30,57.52,$1.84,31.23
2018-06-30,55.34,$4.64,11.93
2018-03-31,52.67,$4.76,11.06
2017-12-31,53.54,$4.73,11.32
2017-09-30,52.32,$5.18,10.1
2017-06-30,48.02,$2.80,17.13
2017-03-31,42.16,$3.36,12.54
2016-12-31,42.52,$3.43,12.39
2016-09-30,42.77,$3.15,13.58
2016-06-30,38.86,$3.90,9.96
2016-03-31,34.72,$3.56,9.75
2015-12-31,33.39,$2.70,12.35
2015-09-30,29.98,$2.68,11.19
2015-06-30,28.29,$2.08,13.62
2015-03-31,32.91,$2.89,11.41
2014-12-31,32.24,$2.55,12.65
2014-09-30,28.02,$4.01,7.0
2014-06-30,30.29,$3.35,9.04
2014-03-31,29.86,$1.82,16.42
2013-12-31,26.8,$8.75,3.06
2013-09-30,27.08,$7.43,3.65
2013-06-30,26.94,$7.57,3.56
2013-03-31,28.35,$7.88,3.6
2012-12-31,25.7,$2.55,10.09
2012-09-30,24.47,$2.85,8.58
2012-06-30,23.04,$2.55,9.02
2012-03-31,24.75,$2.31,10.71
2011-12-31,19.48,$1.83,10.63
2011-09-30,16.36,$4.65,3.52
2011-06-30,23.93,$6.17,3.88
2011-03-31,23.83,$6.70,3.56
2010-12-31,20.83,$6.10,3.41
2010-09-30,17.06,$4.34,3.93
2010-06-30,15.1,$3.13,4.82
2010-03-31,17.35,$2.55,6.8
2009-12-31,16.11,$1.62,9.94
