Yunhong Green CTI Price to Free Cash Flow Ratio Historical Data,Yunhong Green CTI Price to Free Cash Flow Ratio Historical Data,Yunhong Green CTI Price to Free Cash Flow Ratio Historical Data,Yunhong Green CTI Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,1.04,,0.0
2024-09-30,0.84,$-0.02,0.0
2024-06-30,1.25,$-0.00,0.0
2024-03-31,1.59,$-0.03,0.0
2023-12-31,2.14,$-0.07,0.0
2023-09-30,2.65,$0.09,28.46
2023-06-30,1.97,$0.13,15.27
2023-03-31,1.59,$0.16,10.03
2022-12-31,1.04,$0.24,4.39
2022-09-30,0.66,$-0.32,0.0
2022-06-30,0.71,$-0.50,0.0
2022-03-31,1.23,$0.19,6.38
2021-12-31,1.19,$-0.06,0.0
2021-09-30,1.94,$0.46,4.25
2021-06-30,1.97,$0.99,1.99
2021-03-31,2.3,$-0.20,0.0
2020-12-31,1.72,$0.26,6.7
2020-09-30,1.65,$0.06,27.82
2020-06-30,2.6,$-0.13,0.0
2020-03-31,0.96,$0.98,0.98
2019-12-31,0.84,$0.93,0.9
2019-09-30,2.09,$0.64,3.24
2019-06-30,3.22,$0.40,8.15
2019-03-31,3.12,$-0.07,0.0
2018-12-31,3.09,$-0.47,0.0
2018-09-30,3.31,$-1.16,0.0
2018-06-30,4.34,$-0.62,0.0
2018-03-31,4.0,$-0.86,0.0
2017-12-31,4.07,$0.14,29.07
2017-09-30,4.2,$1.16,3.61
2017-06-30,5.68,$0.64,8.88
2017-03-31,5.71,$0.50,11.37
2016-12-31,5.85,$-0.08,0.0
2016-09-30,6.39,$-0.30,0.0
2016-06-30,6.73,$-0.41,0.0
2016-03-31,6.45,$0.30,21.15
2015-12-31,5.11,$0.56,9.18
2015-09-30,3.75,$0.60,6.24
2015-06-30,3.62,$-0.19,0.0
2015-03-31,4.05,$-1.39,0.0
2014-12-31,3.76,$-1.32,0.0
2014-09-30,3.9,$-1.30,0.0
2014-06-30,4.57,$-0.94,0.0
2014-03-31,5.57,$0.05,111.85
2013-12-31,5.84,$-0.55,0.0
2013-09-30,4.83,$-0.46,0.0
2013-06-30,5.02,$-0.87,0.0
2013-03-31,5.99,$-1.08,0.0
2012-12-31,5.16,$-1.01,0.0
2012-09-30,4.87,$-0.63,0.0
2012-06-30,4.95,$-0.19,0.0
2012-03-31,5.02,$0.15,33.9
2011-12-31,4.38,$-0.09,0.0
2011-09-30,4.2,$-0.58,0.0
2011-06-30,5.2,$-0.18,0.0
2011-03-31,4.93,$0.12,41.71
2010-12-31,5.94,$0.40,14.94
2010-09-30,6.81,$0.67,10.24
2010-06-30,6.63,$1.15,5.78
2010-03-31,3.51,$0.73,4.77
2009-12-31,2.22,$0.86,2.59
