Transdigm Group Price to Free Cash Flow Ratio Historical Data,Transdigm Group Price to Free Cash Flow Ratio Historical Data,Transdigm Group Price to Free Cash Flow Ratio Historical Data,Transdigm Group Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,1360.74,,39.67
2024-12-31,1267.28,$34.31,36.94
2024-09-30,1352.3,$32.53,41.58
2024-06-30,1210.62,$30.73,39.4
2024-03-31,1167.03,$27.40,42.6
2023-12-31,958.56,$25.95,36.94
2023-09-30,770.75,$21.61,35.67
2023-06-30,817.41,$18.27,44.75
2023-03-31,673.78,$16.72,40.3
2022-12-31,575.6,$16.01,35.95
2022-09-30,479.77,$14.24,33.68
2022-06-30,477.14,$14.68,32.51
2022-03-31,579.26,$13.74,42.16
2021-12-31,565.7,$13.68,41.34
2021-09-30,555.28,$13.84,40.13
2021-06-30,575.48,$12.44,46.26
2021-03-31,522.7,$15.20,34.38
2020-12-31,550.2,$16.71,32.93
2020-09-30,422.41,$19.34,21.85
2020-06-30,393.01,$20.21,19.45
2020-03-31,284.67,$18.43,15.45
2019-12-31,497.88,$17.85,27.88
2019-09-30,437.69,$16.22,26.99
2019-06-30,384.36,$17.76,21.64
2019-03-31,360.67,$16.73,21.56
2018-12-31,270.16,$17.51,15.43
2018-09-30,295.78,$17.07,17.33
2018-06-30,274.2,$15.35,17.86
2018-03-31,243.85,$14.23,17.14
2017-12-31,218.17,$14.31,15.25
2017-09-30,203.1,$12.92,15.71
2017-06-30,196.98,$12.39,15.9
2017-03-31,161.29,$12.97,12.44
2016-12-31,182.39,$12.03,15.17
2016-09-30,193.93,$11.38,17.03
2016-06-30,176.87,$10.45,16.93
2016-03-31,147.79,$10.12,14.6
2015-12-31,153.23,$8.00,19.14
2015-09-30,142.47,$8.23,17.3
2015-06-30,150.7,$8.83,17.07
2015-03-31,146.71,$7.88,18.61
2014-12-31,131.7,$10.20,12.91
2014-09-30,123.64,$8.90,13.9
2014-06-30,112.19,$9.38,11.96
2014-03-31,108.11,$8.41,12.86
2013-12-31,93.99,$8.14,11.55
2013-09-30,80.96,$7.89,10.26
2013-06-30,79.21,$7.19,11.01
2013-03-31,77.26,$7.64,10.11
2012-12-31,68.9,$7.68,8.97
2012-09-30,65.29,$7.21,9.05
2012-06-30,61.81,$6.58,9.4
2012-03-31,53.27,$5.17,10.3
2011-12-31,44.03,$4.61,9.55
2011-09-30,37.58,$4.54,8.27
2011-06-30,41.97,$3.24,12.93
2011-03-31,38.58,$4.35,8.87
2010-12-31,33.14,$3.59,9.24
2010-09-30,28.56,$3.54,8.07
2010-06-30,23.48,$3.96,5.93
2010-03-31,24.41,$3.55,6.88
2009-12-31,21.86,$4.56,4.79
