Village Bank And Trust Financial Price to Free Cash Flow Ratio Historical Data,Village Bank And Trust Financial Price to Free Cash Flow Ratio Historical Data,Village Bank And Trust Financial Price to Free Cash Flow Ratio Historical Data,Village Bank And Trust Financial Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,80.03,,0.0
2024-09-30,76.07,$-26.73,0.0
2024-06-30,44.29,$4.39,10.08
2024-03-31,42.07,$1.09,38.49
2023-12-31,39.28,$2.92,13.45
2023-09-30,44.74,$37.64,1.19
2023-06-30,42.23,$5.47,7.73
2023-03-31,53.56,$8.85,6.05
2022-12-31,50.49,$6.63,7.61
2022-09-30,46.62,$10.64,4.38
2022-06-30,44.41,$12.98,3.42
2022-03-31,52.95,$13.63,3.88
2021-12-31,55.56,$28.54,1.95
2021-09-30,49.53,$21.01,2.36
2021-06-30,45.22,$10.29,4.4
2021-03-31,38.32,$10.04,3.82
2020-12-31,32.95,$-4.77,0.0
2020-09-30,28.74,$-2.94,0.0
2020-06-30,29.59,$2.99,9.91
2020-03-31,24.22,$-2.69,0.0
2019-12-31,35.56,$-0.06,0.0
2019-09-30,32.95,$5.17,6.38
2019-06-30,31.57,$8.01,3.94
2019-03-31,31.23,$10.45,2.99
2018-12-31,29.17,$11.17,2.61
2018-09-30,32.0,$3.31,9.67
2018-06-30,32.34,$3.25,9.95
2018-03-31,30.9,$2.61,11.82
2017-12-31,29.37,$5.15,5.7
2017-09-30,32.53,$7.71,4.22
2017-06-30,30.37,$5.31,5.72
2017-03-31,26.16,$6.97,3.75
2016-12-31,25.58,$5.45,4.7
2016-09-30,22.35,$2.64,8.46
2016-06-30,21.56,$8.12,2.65
2016-03-31,18.12,$17.36,1.04
2015-12-31,18.2,$-2.86,0.0
2015-09-30,19.74,$-8.03,0.0
2015-06-30,18.87,$2.85,6.63
2015-03-31,16.58,$-11.51,0.0
2014-12-31,21.08,$-0.95,0.0
2014-09-30,21.8,$14.61,1.49
2014-06-30,21.22,$26.01,0.82
2014-03-31,22.23,$25.51,0.87
2013-12-31,21.62,$72.82,0.3
2013-09-30,26.09,$59.72,0.44
2013-06-30,25.6,$30.70,0.83
2013-03-31,33.27,$31.18,1.07
2012-12-31,14.56,$-7.17,0.0
2012-09-30,16.1,$-6.52,0.0
2012-06-30,19.16,$-5.84,0.0
2012-03-31,30.35,$-2.68,0.0
2011-12-31,19.16,$43.65,0.44
2011-09-30,28.82,$68.82,0.42
2011-06-30,35.26,$72.03,0.49
2011-03-31,45.22,$34.52,1.31
2010-12-31,22.84,$-12.66,0.0
2010-09-30,22.23,$3.54,6.29
2010-06-30,44.46,$11.23,3.96
2010-03-31,53.19,$16.71,3.18
2009-12-31,35.76,$-4.25,0.0
