BAIYU Holdings Price to Free Cash Flow Ratio Historical Data,BAIYU Holdings Price to Free Cash Flow Ratio Historical Data,BAIYU Holdings Price to Free Cash Flow Ratio Historical Data,BAIYU Holdings Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-11-07,0.2,,0.0
2024-06-30,1.18,$-2.23,0.0
2024-03-31,1.47,$-2.06,0.0
2023-12-31,1.64,$-1.82,0.0
2023-09-30,0.14,$-0.23,0.0
2023-06-30,0.62,$-2.11,0.0
2022-12-31,1.17,$3.69,0.32
2022-09-30,1.21,$19.26,0.06
2022-06-30,1.26,$17.06,0.07
2022-03-31,1.37,$32.39,0.04
2021-12-31,2.08,$29.75,0.07
2023-03-31,0.93,$2.42,0.38
2021-09-30,3.43,$137.62,0.02
2021-06-30,5.05,$150.01,0.03
2021-03-31,9.9,$135.30,0.07
2020-12-31,7.95,$145.57,0.05
2020-09-30,12.7,$4.11,3.09
2020-06-30,9.4,$-19.69,0.0
2020-03-31,9.2,$-27.95,0.0
2019-12-31,7.65,$-63.91,0.0
2019-09-30,2.27,$-106.18,0.0
2019-06-30,2.9,$-16.50,0.0
2019-03-31,11.55,$-112.58,0.0
2018-12-31,30.0,$-113.63,0.0
2018-09-30,30.0,$-52.78,0.0
2018-06-30,28.0,$-179.44,0.0
2018-03-31,27.5,$-83.81,0.0
2017-12-31,34.5,$-72.94,0.0
2017-09-30,71.75,$-116.25,0.0
2017-06-30,80.08,$-56.18,0.0
2017-03-31,26.0,$-40.91,0.0
2016-12-31,27.5,$-33.23,0.0
2016-09-30,50.0,$34.87,1.43
2016-06-30,45.25,$45.11,1.0
2016-03-31,9.63,$164.10,0.06
2015-12-31,8.17,$37.37,0.22
2015-09-30,15.12,"$-1,125.86",0.0
2015-06-30,31.0,$-721.79,0.0
2015-03-31,74.5,$-229.05,0.0
2014-12-31,74.5,$-0.00,0.0
