Teekay Price to Free Cash Flow Ratio Historical Data,Teekay Price to Free Cash Flow Ratio Historical Data,Teekay Price to Free Cash Flow Ratio Historical Data,Teekay Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,6.96,,1.31
2024-09-30,7.97,$5.30,1.5
2024-06-30,7.77,$6.26,1.24
2024-03-31,6.3,$6.76,0.93
2023-12-31,6.19,$6.69,0.93
2023-09-30,5.34,$6.51,0.82
2023-06-30,5.23,$6.01,0.87
2023-03-31,5.35,$4.13,1.3
2022-12-31,3.93,$2.55,1.54
2022-09-30,3.11,$1.59,1.96
2022-06-30,2.49,$0.92,2.72
2022-03-31,2.75,$0.98,2.8
2021-12-31,2.72,$1.12,2.42
2021-09-30,3.17,$1.91,1.66
2021-06-30,3.22,$2.73,1.18
2021-03-31,2.77,$5.67,0.49
2020-12-31,1.86,$10.43,0.18
2020-09-30,1.93,$10.73,0.18
2020-06-30,2.08,$10.28,0.2
2020-03-31,2.74,$8.09,0.34
2019-12-31,4.61,$3.03,1.52
2019-09-30,3.46,$1.50,2.31
2019-06-30,2.98,$-1.91,0.0
2019-03-31,3.39,$-3.65,0.0
2018-12-31,2.85,$-4.84,0.0
2018-09-30,5.7,$-7.65,0.0
2018-06-30,6.5,$-6.78,0.0
2018-03-31,6.75,$-5.23,0.0
2017-12-31,7.72,$-5.05,0.0
2017-09-30,7.35,$-0.75,0.0
2017-06-30,5.46,$-0.05,0.0
2017-03-31,7.44,$1.30,5.74
2016-12-31,6.5,$2.84,2.29
2016-09-30,6.19,$0.46,13.53
2016-06-30,5.68,$-3.97,0.0
2016-03-31,6.86,$-6.85,0.0
2015-12-31,7.76,$-13.73,0.0
2015-09-30,22.93,$-14.16,0.0
2015-06-30,32.7,$-9.02,0.0
2015-03-31,35.34,$-11.61,0.0
2014-12-31,38.33,$-5.11,0.0
2014-09-30,49.68,$-3.78,0.0
2014-06-30,46.36,$-6.14,0.0
2014-03-31,41.65,$-4.71,0.0
2013-12-31,35.35,$-5.87,0.0
2013-09-30,31.24,$-6.65,0.0
2013-06-30,29.46,$-4.78,0.0
2013-03-31,25.83,$-3.89,0.0
2012-12-31,22.82,$0.23,97.91
2012-09-30,21.96,$-0.76,0.0
2012-06-30,20.38,$-1.85,0.0
2012-03-31,23.96,$-3.54,0.0
2011-12-31,18.21,$-8.75,0.0
2011-09-30,15.21,$-8.01,0.0
2011-06-30,20.56,$-5.10,0.0
2011-03-31,24.36,$-1.19,0.0
2010-12-31,21.62,$1.92,11.28
2010-09-30,17.27,$3.38,5.1
2010-06-30,16.71,$2.26,7.39
2010-03-31,14.33,$1.42,10.06
2009-12-31,14.46,$1.27,11.37
