Fossil Price to Free Cash Flow Ratio Historical Data,Fossil Price to Free Cash Flow Ratio Historical Data,Fossil Price to Free Cash Flow Ratio Historical Data,Fossil Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,1.28,,1.37
2024-12-31,1.67,$0.93,1.79
2024-09-30,1.17,$1.26,0.93
2024-06-30,1.44,$1.05,1.38
2024-03-31,1.02,$0.39,2.64
2023-12-31,1.46,$-1.30,0.0
2023-09-30,2.06,$-0.24,0.0
2023-06-30,2.57,$-0.72,0.0
2023-03-31,3.2,$-1.78,0.0
2022-12-31,4.31,$-2.34,0.0
2022-09-30,3.42,$-2.71,0.0
2022-06-30,5.17,$-2.28,0.0
2022-03-31,9.64,$-0.73,0.0
2021-12-31,10.29,$0.97,10.63
2021-09-30,11.85,$-0.52,0.0
2021-06-30,14.28,$1.65,8.64
2021-03-31,12.4,$2.83,4.39
2020-12-31,8.67,$1.81,4.79
2020-09-30,5.74,$4.04,1.42
2020-06-30,4.65,$0.15,31.53
2020-03-31,3.29,$-2.30,0.0
2019-12-31,7.88,$-0.67,0.0
2019-09-30,12.51,$0.47,26.68
2019-06-30,11.5,$2.54,4.52
2019-03-31,13.72,$4.90,2.8
2018-12-31,15.73,$4.69,3.35
2018-09-30,23.28,$3.53,6.6
2018-06-30,26.87,$4.17,6.45
2018-03-31,12.7,$2.05,6.19
2017-12-31,7.77,$3.19,2.44
2017-09-30,9.33,$3.77,2.47
2017-06-30,10.35,$3.67,2.82
2017-03-31,17.45,$4.58,3.81
2016-12-31,25.86,$3.92,6.6
2016-09-30,27.77,$5.11,5.44
2016-06-30,28.53,$3.80,7.51
2016-03-31,44.42,$4.71,9.44
2015-12-31,36.56,$5.75,6.36
2015-09-30,55.88,$4.82,11.61
2015-06-30,69.36,$6.11,11.34
2015-03-31,82.45,$5.49,15.01
2014-12-31,110.74,$5.53,20.01
2014-09-30,93.9,$5.89,15.93
2014-06-30,104.52,$5.62,18.61
2014-03-31,116.57,$5.81,20.08
2013-12-31,119.94,$5.53,21.7
2013-09-30,116.24,$5.78,20.11
2013-06-30,103.31,$5.81,17.77
2013-03-31,96.6,$6.23,15.51
2012-12-31,93.1,$5.53,16.85
2012-09-30,84.7,$3.80,22.29
2012-06-30,76.54,$3.10,24.67
2012-03-31,131.98,$2.29,57.71
2011-12-31,79.36,$2.55,31.18
2011-09-30,81.06,$2.78,29.12
2011-06-30,117.72,$2.79,42.25
2011-03-31,93.65,$2.35,39.81
2010-12-31,70.48,$2.41,29.25
2010-09-30,53.79,$1.70,31.56
2010-06-30,34.7,$2.69,12.92
2010-03-31,37.74,$3.56,10.61
2009-12-31,33.56,$3.40,9.87
