908 Devices Price to Free Cash Flow Ratio Historical Data,908 Devices Price to Free Cash Flow Ratio Historical Data,908 Devices Price to Free Cash Flow Ratio Historical Data,908 Devices Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,4.16,,0.0
2024-12-31,2.2,$-0.91,0.0
2024-09-30,3.47,$-0.89,0.0
2024-06-30,5.15,$-0.88,0.0
2024-03-31,7.55,$-0.78,0.0
2023-12-31,11.22,$-0.84,0.0
2023-09-30,6.66,$-0.95,0.0
2023-06-30,6.86,$-0.98,0.0
2023-03-31,8.6,$-1.06,0.0
2022-12-31,7.62,$-0.73,0.0
2022-09-30,16.45,$-0.87,0.0
2022-06-30,20.59,$-0.79,0.0
2022-03-31,19.01,$-0.75,0.0
2021-12-31,25.87,$-1.07,0.0
2021-09-30,32.52,$-0.15,0.0
