Magna Price to Free Cash Flow Ratio Historical Data,Magna Price to Free Cash Flow Ratio Historical Data,Magna Price to Free Cash Flow Ratio Historical Data,Magna Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,36.19,,9.5
2024-09-30,40.6,$3.81,10.65
2024-06-30,40.97,$3.45,11.88
2024-03-31,52.75,$2.74,19.25
2023-12-31,56.71,$2.52,22.48
2023-09-30,51.03,$1.69,30.19
2023-06-30,53.28,$1.14,46.87
2023-03-31,50.13,$1.26,39.88
2022-12-31,52.14,$1.87,27.91
2022-09-30,43.69,$2.68,16.3
2022-06-30,50.23,$3.21,15.65
2022-03-31,58.38,$3.67,15.9
2021-12-31,73.02,$5.31,13.75
2021-09-30,67.55,$8.56,7.89
2021-06-30,82.71,$13.03,6.35
2021-03-31,78.26,$7.50,10.43
2020-12-31,62.62,$7.48,8.37
2020-09-30,40.2,$6.03,6.67
2020-06-30,38.72,$2.90,13.37
2020-03-31,27.48,$9.50,2.89
2019-12-31,46.8,$9.29,5.04
2019-09-30,45.21,$7.77,5.82
2019-06-30,41.81,$8.46,4.94
2019-03-31,40.62,$6.90,5.89
2018-12-31,37.65,$6.59,5.71
2018-09-30,43.14,$5.96,7.24
2018-06-30,47.45,$5.24,9.06
2018-03-31,45.77,$5.24,8.73
2017-12-31,45.74,$4.95,9.23
2017-09-30,42.87,$5.56,7.7
2017-06-30,36.99,$4.75,7.79
2017-03-31,34.24,$4.84,7.07
2016-12-31,34.21,$4.06,8.42
2016-09-30,33.66,$2.23,15.11
2016-06-30,27.31,$2.35,11.62
2016-03-31,33.25,$2.33,14.3
2015-12-31,31.2,$2.48,12.59
2015-09-30,36.75,$2.17,16.9
2015-06-30,42.74,$2.51,17.01
2015-03-31,40.73,$2.72,14.99
2014-12-31,41.08,$3.28,12.51
2014-09-30,35.74,$4.69,7.62
2014-06-30,40.44,$3.76,10.77
2014-03-31,36.01,$4.21,8.55
2013-12-31,30.57,$3.46,8.83
2013-09-30,30.63,$2.40,12.76
2013-06-30,26.31,$2.65,9.91
2013-03-31,21.58,$1.94,11.14
2012-12-31,18.29,$1.98,9.21
2012-09-30,15.72,$1.40,11.26
2012-06-30,14.25,$0.66,21.59
2012-03-31,17.12,$0.42,40.87
2011-12-31,11.88,$-0.06,0.0
2011-09-30,11.67,$0.13,89.07
2011-06-30,19.0,$1.22,15.54
2011-03-31,16.76,$1.87,8.97
2010-12-31,18.1,$2.22,8.17
2010-09-30,14.26,$2.12,6.73
2010-06-30,11.35,$1.00,11.35
2010-03-31,10.56,$-0.09,0.0
2009-12-31,8.63,$-0.23,0.0
