Quoin Pharmaceuticals Price to Free Cash Flow Ratio Historical Data,Quoin Pharmaceuticals Price to Free Cash Flow Ratio Historical Data,Quoin Pharmaceuticals Price to Free Cash Flow Ratio Historical Data,Quoin Pharmaceuticals Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,0.29,,0.0
2024-12-31,0.65,$-1.68,0.0
2024-09-30,0.49,$-5.14,0.0
2024-06-30,0.58,$-6.05,0.0
2024-03-31,0.95,$-6.67,0.0
2023-12-31,4.91,$-8.73,0.0
2023-09-30,4.15,$-22.89,0.0
2023-06-30,6.0,$16.52,0.36
2023-03-31,5.71,$-7.30,0.0
2022-12-31,17.04,$-42.02,0.0
2022-09-30,26.76,$-114.16,0.0
2022-06-30,67.55,$-197.73,0.0
2022-03-31,199.5,$-234.23,0.0
2021-12-31,273.0,$-217.44,0.0
2021-09-30,2769.0,$124.54,22.23
2021-06-30,2250.0,$-47.41,0.0
2021-03-31,1884.0,$47.39,39.75
2020-12-31,1296.0,$-66.87,0.0
2020-09-30,1260.0,$-585.22,0.0
2020-06-30,1890.0,$-776.78,0.0
2020-03-31,882.0,"$-1,123.56",0.0
2019-12-31,1331.82,"$-1,670.53",0.0
2019-09-30,1464.0,"$-2,091.10",0.0
2019-06-30,1528.8,"$-2,550.16",0.0
2019-03-31,3032.4,"$-2,849.93",0.0
2018-12-31,6300.0,"$-3,005.70",0.0
2018-09-30,14280.0,"$-2,318.67",0.0
2018-06-30,21450.0,"$-1,450.84",0.0
2018-03-31,19140.0,$-838.29,0.0
2017-12-31,21000.0,$-0.93,0.0
2017-09-30,23850.0,$-0.97,0.0
2017-06-30,24180.0,$-1.35,0.0
