Applied DNA Sciences Inc Price to Free Cash Flow Ratio Historical Data,Applied DNA Sciences Inc Price to Free Cash Flow Ratio Historical Data,Applied DNA Sciences Inc Price to Free Cash Flow Ratio Historical Data,Applied DNA Sciences Inc Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,1.93,,1.06
2024-12-31,0.2,$1.82,0.11
2024-09-30,0.65,$-3.56,0.0
2024-06-30,0.41,$-6.43,0.0
2024-03-31,8.2,$-14.20,0.0
2023-12-31,12.34,$-11.43,0.0
2023-09-30,24.2,$-9.56,0.0
2023-06-30,25.8,$-13.58,0.0
2023-03-31,22.6,$-14.26,0.0
2022-12-31,33.2,$-14.56,0.0
2022-09-30,22.6,$-21.11,0.0
2022-06-30,14.76,$-30.84,0.0
2022-03-31,42.8,$-32.63,0.0
2021-12-31,80.4,$-39.81,0.0
2021-09-30,107.8,$-46.08,0.0
2021-06-30,135.8,$-55.08,0.0
2021-03-31,143.8,$-58.52,0.0
2020-12-31,102.0,$-55.79,0.0
2020-09-30,154.6,$-62.29,0.0
2020-06-30,161.4,$-77.92,0.0
2020-03-31,80.4,$-85.19,0.0
2019-12-31,83.8,$-132.19,0.0
2019-09-30,178.8,$-150.34,0.0
2019-06-30,400.0,$-178.69,0.0
2019-03-31,570.0,$-194.87,0.0
2018-12-31,320.0,$-160.14,0.0
2018-09-30,1192.0,$-194.81,0.0
2018-06-30,1008.0,$-152.99,0.0
2018-03-31,1152.0,$-178.27,0.0
2017-12-31,1272.0,$-240.57,0.0
2017-09-30,2296.0,$-231.23,0.0
2017-06-30,1408.0,$-292.07,0.0
2017-03-31,1320.0,$-324.52,0.0
2016-12-31,1480.0,$-324.74,0.0
2016-09-30,2440.0,$-356.70,0.0
2016-06-30,2584.0,$-436.36,0.0
2016-03-31,2752.0,$-358.04,0.0
2015-12-31,2592.0,$-347.34,0.0
2015-09-30,4096.0,$-372.47,0.0
2015-06-30,2480.0,$-338.65,0.0
2015-03-31,2072.0,$-449.93,0.0
2014-12-31,2312.0,$-509.68,0.0
2014-09-30,4320.86,$-517.47,0.0
2014-06-30,5761.15,$-570.63,0.0
2014-03-31,6241.25,$-603.69,0.0
2013-12-31,7681.54,$-623.01,0.0
2013-09-30,4320.86,$-619.97,0.0
2013-06-30,9601.92,$-530.71,0.0
2013-03-31,11042.21,$-464.31,0.0
2012-12-31,10082.02,$-392.56,0.0
2012-09-30,12002.4,$-343.57,0.0
2012-06-30,2400.48,$-434.29,0.0
2012-03-31,2880.58,$-441.55,0.0
2011-12-31,2880.58,$-504.36,0.0
2011-09-30,2880.58,$-489.53,0.0
2011-06-30,2880.58,$-448.10,0.0
2011-03-31,2880.58,$-428.09,0.0
2010-12-31,2880.58,$-353.90,0.0
2010-09-30,2400.48,$-391.59,0.0
2010-06-30,2880.58,$-289.19,0.0
2010-03-31,3360.67,$-340.04,0.0
2009-12-31,2880.58,$-484.96,0.0
