Alphabet Price to Free Cash Flow Ratio Historical Data,Alphabet Price to Free Cash Flow Ratio Historical Data,Alphabet Price to Free Cash Flow Ratio Historical Data,Alphabet Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,162.8,,29.79
2024-12-31,189.3,$5.47,34.63
2024-09-30,165.66,$4.18,39.64
2024-06-30,181.7,$4.52,40.21
2024-03-31,150.38,$5.11,29.43
2023-12-31,139.18,$5.11,27.24
2023-09-30,130.39,$5.67,23.02
2023-06-30,119.27,$5.15,23.14
2023-03-31,103.35,$4.45,23.21
2022-12-31,87.91,$4.27,20.58
2022-09-30,95.3,$4.42,21.54
2022-06-30,108.57,$4.56,23.81
2022-03-31,138.56,$4.79,28.91
2021-12-31,144.33,$4.63,31.15
2021-09-30,133.19,$4.53,29.43
2021-06-30,121.65,$4.01,30.31
2021-03-31,102.75,$3.47,29.62
2020-12-31,87.31,$2.92,29.89
2020-09-30,73.01,$1.14,64.14
2020-06-30,70.65,$2.11,33.52
2020-03-31,57.89,$1.95,29.62
2019-12-31,66.73,$2.08,32.11
2019-09-30,60.84,$3.09,19.71
2019-06-30,53.94,$1.85,29.15
2019-03-31,58.63,$1.72,34.02
2018-12-31,52.06,$1.52,34.21
2018-09-30,60.14,$1.52,39.59
2018-06-30,56.26,$1.41,39.76
2018-03-31,51.67,$1.41,36.63
2017-12-31,52.48,$1.59,32.96
2017-09-30,48.51,$1.62,29.87
2017-06-30,46.32,$1.70,27.23
2017-03-31,42.24,$1.87,22.63
2016-12-31,39.48,$1.74,22.65
2016-09-30,40.06,$1.62,24.67
2016-06-30,35.05,$1.37,25.51
2016-03-31,38.01,$1.21,31.36
2015-12-31,38.76,$1.12,34.66
2015-09-30,31.74,$1.05,30.28
2015-06-30,26.9,$1.04,25.92
2015-03-31,27.63,$0.92,30.06
2014-12-31,26.44,$0.81,32.52
2014-09-30,29.31,$0.73,40.0
2014-06-30,29.13,$0.70,41.77
2014-03-31,27.85,$0.74,37.86
2013-12-31,28.0,$0.77,36.52
2013-09-30,21.89,$0.89,24.6
2013-06-30,22.0,$0.92,24.01
2013-03-31,19.84,$0.95,20.88
2012-12-31,17.68,$1.00,17.6
2012-09-30,18.85,$0.95,19.74
2012-06-30,14.49,$0.97,14.91
2012-03-31,16.02,$0.91,17.62
2011-12-31,16.14,$0.85,18.98
2011-09-30,12.87,$0.70,18.46
2011-06-30,12.65,$0.61,20.6
2011-03-31,14.66,$0.54,27.19
2010-12-31,14.84,$0.55,27.17
2010-09-30,13.14,$0.67,19.65
2010-06-30,11.12,$0.70,15.86
2010-03-31,14.17,$0.69,20.51
2009-12-31,15.49,$0.67,23.27
