BXP Price to Free Cash Flow Ratio Historical Data,BXP Price to Free Cash Flow Ratio Historical Data,BXP Price to Free Cash Flow Ratio Historical Data,BXP Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,68.47,,101.45
2024-12-31,74.36,$0.67,110.18
2024-09-30,80.46,$1.14,70.77
2024-06-30,60.82,$1.20,50.51
2024-03-31,63.51,$1.33,47.76
2023-12-31,67.2,$1.78,37.65
2023-09-30,56.19,$2.81,19.99
2023-06-30,53.52,$2.65,20.19
2023-03-31,49.45,$-1.02,0.0
2022-12-31,60.63,$-0.63,0.0
2022-09-30,66.3,$-0.32,0.0
2022-06-30,77.67,$-1.19,0.0
2022-03-31,111.22,$2.07,53.63
2021-12-31,98.72,$1.04,95.28
2021-09-30,92.09,$0.08,1117.54
2021-06-30,96.54,$1.00,96.39
2021-03-31,84.58,$2.38,35.57
2020-12-31,78.21,$4.19,18.68
2020-09-30,65.75,$3.89,16.89
2020-06-30,73.12,$2.91,25.09
2020-03-31,73.81,$2.07,35.65
2019-12-31,109.17,$0.93,117.01
2019-09-30,101.94,$2.64,38.57
2019-06-30,100.69,$3.58,28.13
2019-03-31,103.73,$2.79,37.18
2018-12-31,86.59,$3.30,26.21
2018-09-30,93.9,$1.32,71.33
2018-06-30,94.93,$1.10,85.96
2018-03-31,92.67,$-0.07,0.0
2017-12-31,97.16,$-0.71,0.0
2017-09-30,91.25,$-0.17,0.0
2017-06-30,90.8,$-0.94,0.0
2017-03-31,97.14,$0.28,341.21
2016-12-31,91.75,$1.29,71.35
2016-09-30,98.82,$2.93,33.69
2016-06-30,95.19,$3.83,24.87
2016-03-31,91.25,$5.38,16.97
2015-12-31,91.11,$5.01,18.2
2015-09-30,83.36,$5.61,14.86
2015-06-30,84.74,$5.79,14.63
2015-03-31,97.83,$4.08,23.96
2014-12-31,89.21,$3.37,26.49
2014-09-30,77.2,$1.15,67.12
2014-06-30,78.38,$2.29,34.19
2014-03-31,75.54,$0.67,112.21
2013-12-31,65.82,$-0.47,0.0
2013-09-30,68.13,$-2.03,0.0
2013-06-30,66.82,$-3.71,0.0
2013-03-31,63.62,$-1.49,0.0
2012-12-31,66.19,$-4.17,0.0
2012-09-30,68.77,$-3.77,0.0
2012-06-30,67.04,$-3.06,0.0
2012-03-31,64.61,$-3.11,0.0
2011-12-31,60.97,$0.87,69.7
2011-09-30,54.24,$-1.51,0.0
2011-06-30,64.27,$-2.32,0.0
2011-03-31,57.15,$-2.94,0.0
2010-12-31,51.6,$-3.39,0.0
2010-09-30,49.53,$-0.35,0.0
2010-06-30,42.26,$0.07,583.72
2010-03-31,44.39,$0.75,59.37
2009-12-31,39.21,$1.33,29.55
