Kforce Price to Free Cash Flow Ratio Historical Data,Kforce Price to Free Cash Flow Ratio Historical Data,Kforce Price to Free Cash Flow Ratio Historical Data,Kforce Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,49.21,,11.67
2024-12-31,56.7,$4.22,13.45
2024-09-30,61.06,$4.07,15.0
2024-06-30,61.36,$4.02,15.25
2024-03-31,69.22,$4.01,17.25
2023-12-31,65.95,$4.29,15.37
2023-09-30,57.93,$3.67,15.78
2023-06-30,60.47,$2.59,23.31
2023-03-31,60.66,$3.15,19.29
2022-12-31,52.29,$4.03,12.96
2022-09-30,55.6,$4.11,13.52
2022-06-30,57.86,$4.80,12.05
2022-03-31,69.47,$5.03,13.82
2021-12-31,70.33,$4.25,16.54
2021-09-30,55.57,$4.34,12.79
2021-06-30,58.38,$5.83,10.02
2021-03-31,49.54,$5.90,8.39
2020-12-31,38.74,$4.97,7.8
2020-09-30,29.46,$4.93,5.98
2020-06-30,26.63,$3.60,7.4
2020-03-31,23.13,$7.16,3.23
2019-12-31,35.7,$7.52,4.75
2019-09-30,33.86,$7.82,4.33
2019-06-30,31.24,$7.67,4.07
2019-03-31,31.11,$3.37,9.23
2018-12-31,27.25,$3.31,8.23
2018-09-30,32.94,$3.38,9.75
2018-06-30,29.92,$2.31,12.97
2018-03-31,23.51,$1.81,13.0
2017-12-31,21.86,$0.96,22.83
2017-09-30,17.4,$0.28,62.63
2017-06-30,16.78,$0.61,27.73
2017-03-31,20.19,$0.47,43.38
2016-12-31,19.54,$1.04,18.74
2016-09-30,17.25,$1.30,13.25
2016-06-30,14.13,$1.91,7.4
2016-03-31,16.28,$1.94,8.4
2015-12-31,20.88,$2.21,9.44
2015-09-30,21.6,$0.72,29.85
2015-06-30,18.72,$-0.48,0.0
2015-03-31,18.18,$-0.79,0.0
2014-12-31,19.56,$-0.99,0.0
2014-09-30,15.79,$-0.18,0.0
2014-06-30,17.38,$0.20,85.2
2014-03-31,17.04,$0.21,80.75
2013-12-31,16.28,$-0.24,0.0
2013-09-30,14.0,$0.73,19.09
2013-06-30,11.55,$1.19,9.73
2013-03-31,12.95,$1.13,11.45
2012-12-31,11.35,$1.48,7.67
2012-09-30,8.65,$0.95,9.08
2012-06-30,9.87,$0.47,20.84
2012-03-31,10.93,$0.72,15.19
2011-12-31,9.05,$0.55,16.49
2011-09-30,7.2,$0.56,12.76
2011-06-30,9.6,$0.84,11.36
2011-03-31,13.43,$0.08,162.14
2010-12-31,11.87,$-0.23,0.0
2010-09-30,10.07,$-0.28,0.0
2010-06-30,9.35,$-0.27,0.0
2010-03-31,11.16,$0.65,17.04
2009-12-31,9.17,$0.99,9.28
