Mercury General Price to Free Cash Flow Ratio Historical Data,Mercury General Price to Free Cash Flow Ratio Historical Data,Mercury General Price to Free Cash Flow Ratio Historical Data,Mercury General Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,56.82,,3.13
2024-12-31,66.48,$18.12,3.67
2024-09-30,62.7,$17.76,3.53
2024-06-30,52.62,$14.06,3.74
2024-03-31,50.78,$11.16,4.55
2023-12-31,36.47,$8.06,4.53
2023-09-30,27.18,$5.21,5.22
2023-06-30,29.03,$4.61,6.29
2023-03-31,30.12,$4.14,7.27
2022-12-31,32.12,$5.73,5.61
2022-09-30,26.45,$5.80,4.56
2022-06-30,40.84,$6.11,6.68
2022-03-31,50.01,$7.08,7.07
2021-12-31,47.66,$8.31,5.74
2021-09-30,49.41,$9.95,4.97
2021-06-30,57.02,$11.29,5.05
2021-03-31,52.83,$11.66,4.53
2020-12-31,44.88,$10.22,4.39
2020-09-30,35.13,$9.24,3.8
2020-06-30,34.11,$8.57,3.98
2020-03-31,33.58,$7.23,4.65
2019-12-31,39.47,$8.66,4.56
2019-09-30,44.69,$7.82,5.72
2019-06-30,49.42,$7.76,6.37
2019-03-31,39.18,$8.12,4.82
2018-12-31,39.96,$6.42,6.22
2018-09-30,38.33,$6.58,5.82
2018-06-30,34.4,$6.05,5.68
2018-03-31,34.19,$5.96,5.74
2017-12-31,39.3,$5.93,6.63
2017-09-30,41.2,$6.19,6.66
2017-06-30,38.82,$6.18,6.28
2017-03-31,43.36,$5.43,7.99
2016-12-31,42.36,$4.97,8.53
2016-09-30,38.2,$4.32,8.85
2016-06-30,36.6,$3.71,9.86
2016-03-31,37.75,$3.80,9.93
2015-12-31,31.32,$3.08,10.15
2015-09-30,33.54,$3.16,10.61
2015-06-30,36.49,$3.02,12.09
2015-03-31,37.45,$3.33,11.25
2014-12-31,36.34,$4.01,9.06
2014-09-30,30.96,$3.88,7.98
2014-06-30,29.46,$4.00,7.37
2014-03-31,27.87,$3.30,8.45
2013-12-31,30.32,$3.49,8.68
2013-09-30,29.09,$3.44,8.45
2013-06-30,26.12,$3.29,7.95
2013-03-31,22.22,$2.87,7.76
2012-12-31,22.87,$2.46,9.31
2012-09-30,21.95,$1.64,13.41
2012-06-30,23.31,$1.83,12.73
2012-03-31,24.12,$2.64,9.15
2011-12-31,24.82,$2.62,9.49
2011-09-30,20.58,$2.61,7.88
2011-06-30,20.87,$2.07,10.09
2011-03-31,20.37,$1.26,16.2
2010-12-31,22.04,$1.17,18.81
2010-09-30,20.66,$1.90,10.86
2010-06-30,20.64,$1.89,10.9
2010-03-31,21.48,$2.49,8.62
2009-12-31,19.02,$2.78,6.85
