Huize Holding Price to Free Cash Flow Ratio Historical Data,Huize Holding Price to Free Cash Flow Ratio Historical Data,Huize Holding Price to Free Cash Flow Ratio Historical Data,Huize Holding Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,3.21,,2.12
2024-09-30,3.84,$1.52,2.53
2024-06-30,5.05,$1.52,3.33
2024-03-31,2.93,$1.52,1.93
2023-12-31,4.5,$1.52,2.97
2023-09-30,5.45,$-1.43,0.0
2023-06-30,6.75,$-1.43,0.0
2023-03-31,6.37,$-1.43,0.0
2022-12-31,6.9,$-1.43,0.0
2022-09-30,4.24,$-3.27,0.0
2022-06-30,6.2,$-3.27,0.0
2022-03-31,6.5,$-3.27,0.0
2021-12-31,7.15,$-3.27,0.0
2021-09-30,11.4,$2.06,5.54
2021-06-30,29.8,$2.06,14.48
2021-03-31,41.85,$2.06,20.33
2020-12-31,35.0,$2.06,17.0
