Agree Realty Price to Free Cash Flow Ratio Historical Data,Agree Realty Price to Free Cash Flow Ratio Historical Data,Agree Realty Price to Free Cash Flow Ratio Historical Data,Agree Realty Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,76.26,,0.0
2024-12-31,70.45,$-4.43,0.0
2024-09-30,74.83,$-3.05,0.0
2024-06-30,60.89,$-4.99,0.0
2024-03-31,55.69,$-6.86,0.0
2023-12-31,60.58,$-9.25,0.0
2023-09-30,52.5,$-12.60,0.0
2023-06-30,61.4,$-12.10,0.0
2023-03-31,63.72,$-13.16,0.0
2022-12-31,65.21,$-15.83,0.0
2022-09-30,61.49,$-15.64,0.0
2022-06-30,65.0,$-16.40,0.0
2022-03-31,59.22,$-16.85,0.0
2021-12-31,63.02,$-16.98,0.0
2021-09-30,57.93,$-19.30,0.0
2021-06-30,61.1,$-23.99,0.0
2021-03-31,57.8,$-23.58,0.0
2020-12-31,56.64,$-22.06,0.0
2020-09-30,53.62,$-17.70,0.0
2020-06-30,54.84,$-14.64,0.0
2020-03-31,51.19,$-14.01,0.0
2019-12-31,57.49,$-13.11,0.0
2019-09-30,59.43,$-17.88,0.0
2019-06-30,51.64,$-16.10,0.0
2019-03-31,55.41,$-15.47,0.0
2018-12-31,46.87,$-14.61,0.0
2018-09-30,41.71,$-9.71,0.0
2018-06-30,41.01,$-7.69,0.0
2018-03-31,36.96,$-9.50,0.0
2017-12-31,39.15,$-8.53,0.0
2017-09-30,36.98,$-8.67,0.0
2017-06-30,34.21,$-8.42,0.0
2017-03-31,35.39,$-10.30,0.0
2016-12-31,33.63,$-10.24,0.0
2016-09-30,35.72,$-10.95,0.0
2016-06-30,34.52,$-10.52,0.0
2016-03-31,27.25,$-6.98,0.0
2015-12-31,23.79,$-8.75,0.0
2015-09-30,20.6,$-9.78,0.0
2015-06-30,19.82,$-11.38,0.0
2015-03-31,22.05,$-9.53,0.0
2014-12-31,20.51,$-7.51,0.0
2014-09-30,17.81,$-3.70,0.0
2014-06-30,19.36,$-3.49,0.0
2014-03-31,19.2,$-4.74,0.0
2013-12-31,18.07,$-4.23,0.0
2013-09-30,18.52,$-7.00,0.0
2013-06-30,17.87,$-5.67,0.0
2013-03-31,17.97,$-4.18,0.0
2012-12-31,15.76,$-4.31,0.0
2012-09-30,14.77,$-1.98,0.0
2012-06-30,12.62,$-2.69,0.0
2012-03-31,12.65,$-1.86,0.0
2011-12-31,13.42,$-0.37,0.0
2011-09-30,11.79,$-1.19,0.0
2011-06-30,11.87,$-0.30,0.0
2011-03-31,11.73,$-0.32,0.0
2010-12-31,13.44,$-0.73,0.0
2010-09-30,12.71,$1.45,8.74
2010-06-30,11.51,$2.14,5.37
2010-03-31,11.04,$1.91,5.77
2009-12-31,11.01,$1.86,5.92
