Methode Electronics Price to Free Cash Flow Ratio Historical Data,Methode Electronics Price to Free Cash Flow Ratio Historical Data,Methode Electronics Price to Free Cash Flow Ratio Historical Data,Methode Electronics Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,6.77,,0.0
2025-01-31,11.32,$-0.10,0.0
2024-10-31,8.72,$-0.30,0.0
2024-07-31,12.5,$0.98,12.72
2024-04-30,11.92,$0.52,22.72
2024-01-31,20.07,$0.54,37.28
2023-10-31,21.96,$1.38,15.92
2023-07-31,32.12,$1.95,16.5
2023-04-30,38.97,$2.56,15.2
2023-01-31,45.25,$2.43,18.65
2022-10-31,38.96,$1.57,24.77
2022-07-31,38.82,$1.86,20.93
2022-04-30,41.82,$1.62,25.76
2022-01-31,41.15,$1.56,26.31
2021-10-31,39.2,$3.38,11.6
2021-07-31,44.42,$3.77,11.78
2021-04-30,41.6,$4.05,10.28
2021-01-31,34.87,$4.48,7.78
2020-10-31,28.35,$2.53,11.22
2020-07-31,25.88,$2.49,10.38
2020-04-30,27.45,$2.52,10.88
2020-01-31,29.83,$1.92,15.5
2019-10-31,31.24,$2.27,13.76
2019-07-31,27.11,$1.49,18.14
2019-04-30,26.6,$1.39,19.2
2019-01-31,23.13,$1.19,19.48
2018-10-31,26.47,$1.30,20.29
2018-07-31,34.97,$1.50,23.32
2018-04-30,35.45,$1.87,18.98
2018-01-31,36.19,$2.19,16.56
2017-10-31,41.44,$2.60,15.96
2017-07-31,35.05,$2.89,12.15
2017-04-30,39.2,$3.28,11.97
2017-01-31,36.92,$3.03,12.19
2016-10-31,27.33,$2.70,10.11
2016-07-31,30.61,$2.74,11.15
2016-04-30,25.91,$2.27,11.39
2016-01-31,22.64,$1.88,12.05
2015-10-31,28.86,$2.24,12.86
2015-07-31,23.17,$2.12,10.93
2015-04-30,36.54,$2.56,14.29
2015-01-31,31.07,$2.88,10.78
2014-10-31,33.74,$2.09,16.14
2014-07-31,27.33,$1.93,14.2
2014-04-30,23.64,$1.14,20.82
2014-01-31,28.6,$0.45,62.89
2013-10-31,21.69,$0.25,86.03
2013-07-31,15.97,$-0.02,0.0
2013-04-30,12.11,$-0.14,0.0
2013-01-31,8.06,$0.18,45.75
2012-10-31,8.41,$0.15,56.1
2012-07-31,7.26,$-0.21,0.0
2012-04-30,6.92,$-0.02,0.0
2012-01-31,8.06,$-0.34,0.0
2011-10-31,7.49,$-0.10,0.0
2011-07-31,8.46,$0.21,39.96
2011-04-30,9.82,$0.05,204.58
2011-01-31,9.33,$0.53,17.68
2010-10-31,7.3,$0.17,42.14
2010-07-31,8.32,$0.26,32.61
2010-04-30,8.59,$0.49,17.64
2010-01-31,8.45,$0.21,39.52
2009-10-31,5.55,$0.97,5.7
