Franco-Nevada Price to Free Cash Flow Ratio Historical Data,Franco-Nevada Price to Free Cash Flow Ratio Historical Data,Franco-Nevada Price to Free Cash Flow Ratio Historical Data,Franco-Nevada Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,155.53,,76.04
2024-09-30,123.89,$2.05,60.57
2024-06-30,117.84,$2.54,46.3
2024-03-31,118.11,$2.11,56.04
2023-12-31,109.49,$2.48,44.18
2023-09-30,131.49,$2.25,58.51
2023-06-30,140.12,$3.08,45.55
2023-03-31,142.93,$3.84,37.2
2022-12-31,133.46,$4.47,29.85
2022-09-30,116.57,$5.02,23.2
2022-06-30,128.04,$4.87,26.27
2022-03-31,154.88,$2.03,76.35
2021-12-31,133.99,$1.02,131.64
2021-09-30,125.59,$0.23,549.62
2021-06-30,139.95,$-0.42,0.0
2021-03-31,120.63,$1.91,63.3
2020-12-31,120.39,$2.58,46.73
2020-09-30,133.82,$2.95,45.39
2020-06-30,133.65,$1.64,81.53
2020-03-31,95.07,$1.31,72.84
2019-12-31,98.44,$0.92,107.28
2019-09-30,86.65,$-1.04,0.0
2019-06-30,80.46,$0.09,924.85
2019-03-31,70.91,$-0.23,0.0
2018-12-31,66.1,$-2.76,0.0
2018-09-30,58.72,$-1.76,0.0
2018-06-30,68.29,$-2.29,0.0
2018-03-31,63.74,$-2.46,0.0
2017-12-31,74.26,$-0.07,0.0
2017-09-30,71.76,$-0.06,0.0
2017-06-30,66.64,$0.70,94.72
2017-03-31,60.31,$1.28,47.3
2016-12-31,54.82,$-1.39,0.0
2016-09-30,63.85,$-7.43,0.0
2016-06-30,69.29,$-7.41,0.0
2016-03-31,55.74,$-7.59,0.0
2015-12-31,41.4,$-4.89,0.0
2015-09-30,39.67,$-2.60,0.0
2015-06-30,42.72,$-3.80,0.0
2015-03-31,43.33,$-3.06,0.0
2014-12-31,43.73,$-3.71,0.0
2014-09-30,43.29,$-0.53,0.0
2014-06-30,50.6,$0.62,81.41
2014-03-31,40.29,$0.00,0.0
2013-12-31,35.66,$0.81,44.01
2013-09-30,39.44,$-0.03,0.0
2013-06-30,31.03,$-0.81,0.0
2013-03-31,39.38,$-0.83,0.0
2012-12-31,49.21,$-1.41,0.0
2012-09-30,50.6,$0.59,85.8
2012-06-30,38.69,$2.28,17.0
2012-03-31,36.68,$1.84,19.99
2011-12-31,32.4,$1.92,16.92
2011-09-30,30.61,$1.33,23.09
