Pan American Silver Price to Free Cash Flow Ratio Historical Data,Pan American Silver Price to Free Cash Flow Ratio Historical Data,Pan American Silver Price to Free Cash Flow Ratio Historical Data,Pan American Silver Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,26.4,,23.71
2024-12-31,20.22,$1.11,18.16
2024-09-30,20.78,$0.75,27.76
2024-06-30,19.7,$0.34,57.92
2024-03-31,14.88,$0.10,150.12
2023-12-31,15.99,$0.23,69.59
2023-09-30,14.08,$-0.80,0.0
2023-06-30,14.17,$-0.88,0.0
2023-03-31,17.6,$-1.12,0.0
2022-12-31,15.71,$-1.11,0.0
2022-09-30,15.16,$-0.01,0.0
2022-06-30,18.65,$0.66,28.46
2022-03-31,25.75,$1.08,23.9
2021-12-31,23.45,$0.92,25.38
2021-09-30,21.77,$1.30,16.69
2021-06-30,26.62,$1.07,24.79
2021-03-31,27.92,$1.09,25.5
2020-12-31,32.02,$1.46,21.99
2020-09-30,29.76,$1.24,24.05
2020-06-30,28.09,$1.03,27.19
2020-03-31,13.22,$1.01,13.06
2019-12-31,21.8,$0.43,50.8
2019-09-30,14.4,$-0.16,0.0
2019-06-30,11.84,$-0.27,0.0
2019-03-31,12.11,$-0.18,0.0
2018-12-31,13.31,$0.17,77.37
2018-09-30,13.42,$0.66,20.32
2018-06-30,16.24,$0.80,20.21
2018-03-31,14.62,$0.55,26.61
2017-12-31,14.05,$0.55,25.65
2017-09-30,15.37,$0.19,80.2
2017-06-30,15.15,$0.35,43.36
2017-03-31,15.75,$0.52,30.31
2016-12-31,13.53,$0.19,72.52
2016-09-30,15.81,$0.05,296.08
2016-06-30,14.75,$-0.29,0.0
2016-03-31,9.74,$-0.53,0.0
2015-12-31,5.82,$-0.38,0.0
2015-09-30,5.64,$-0.37,0.0
2015-06-30,7.58,$-0.32,0.0
2015-03-31,7.7,$-0.18,0.0
2014-12-31,7.97,$-0.05,0.0
2014-09-30,9.4,$0.26,36.66
2014-06-30,13.03,$0.17,75.01
2014-03-31,10.82,$-0.15,0.0
2013-12-31,9.75,$-0.17,0.0
2013-09-30,8.69,$-0.18,0.0
2013-06-30,9.5,$0.08,114.04
2013-03-31,13.23,$0.05,266.28
2012-12-31,15.02,$0.23,66.05
2012-09-30,17.14,$0.88,19.42
2012-06-30,13.46,$1.18,11.37
2012-03-31,17.55,$2.01,8.72
2011-12-31,17.33,$2.22,7.79
2011-09-30,21.25,$1.94,10.92
2011-06-30,24.49,$1.84,13.34
2011-03-31,29.42,$1.54,19.07
2010-12-31,32.63,$1.47,22.19
2010-09-30,23.41,$1.48,15.83
2010-06-30,19.98,$1.39,14.34
2010-03-31,18.3,$1.30,14.07
2009-12-31,18.8,$0.72,26.28
