American Resources Price to Free Cash Flow Ratio Historical Data,American Resources Price to Free Cash Flow Ratio Historical Data,American Resources Price to Free Cash Flow Ratio Historical Data,American Resources Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,0.44,,0.0
2024-09-30,0.91,$-0.19,0.0
2024-06-30,0.73,$-0.26,0.0
2024-03-31,1.41,$-0.13,0.0
2023-12-31,1.49,$-0.18,0.0
2023-09-30,1.67,$0.20,8.22
2023-06-30,1.96,$0.31,6.22
2023-03-31,1.5,$0.28,5.3
2022-12-31,1.32,$0.29,4.53
2022-09-30,2.67,$-0.35,0.0
2022-06-30,1.45,$-0.49,0.0
2022-03-31,2.57,$-0.53,0.0
2021-12-31,1.8,$-0.58,0.0
2021-09-30,1.9,$-0.73,0.0
2021-06-30,2.55,$-0.65,0.0
2021-03-31,3.8,$-0.63,0.0
2020-12-31,1.95,$-0.46,0.0
2020-09-30,1.5,$-0.39,0.0
2020-06-30,1.18,$-0.49,0.0
2020-03-31,1.04,$-0.48,0.0
2019-12-31,0.63,$-0.81,0.0
