SM Energy Price to Free Cash Flow Ratio Historical Data,SM Energy Price to Free Cash Flow Ratio Historical Data,SM Energy Price to Free Cash Flow Ratio Historical Data,SM Energy Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,30.93,,0.0
2024-12-31,38.76,$-14.12,0.0
2024-09-30,39.79,$4.25,9.35
2024-06-30,42.87,$4.19,10.23
2024-03-31,49.25,$2.76,17.87
2023-12-31,38.06,$3.98,9.55
2023-09-30,38.83,$1.89,20.58
2023-06-30,30.85,$2.96,10.42
2023-03-31,27.32,$5.70,4.79
2022-12-31,33.63,$6.50,5.18
2022-09-30,36.19,$8.93,4.05
2022-06-30,32.9,$7.80,4.22
2022-03-31,37.47,$5.81,6.46
2021-12-31,28.36,$3.89,7.28
2021-09-30,25.37,$2.65,9.57
2021-06-30,23.69,$2.21,10.72
2021-03-31,15.73,$1.08,14.64
2020-12-31,5.88,$2.14,2.75
2020-09-30,1.52,$0.99,1.53
2020-06-30,3.58,$0.15,23.74
2020-03-31,1.16,$0.12,9.44
2019-12-31,10.68,$-1.69,0.0
2019-09-30,9.15,$-2.60,0.0
2019-06-30,11.82,$-3.16,0.0
2019-03-31,16.46,$-2.86,0.0
2018-12-31,14.57,$1.17,12.46
2018-09-30,29.62,$0.93,31.83
2018-06-30,24.13,$0.53,45.2
2018-03-31,16.9,$-0.10,0.0
2017-12-31,20.7,$2.82,7.35
2017-09-30,16.58,$-14.56,0.0
2017-06-30,15.45,$-10.83,0.0
2017-03-31,22.4,$-10.28,0.0
2016-12-31,32.16,$-17.17,0.0
2016-09-30,35.93,$1.23,29.14
2016-06-30,25.15,$-2.20,0.0
2016-03-31,17.42,$0.39,45.21
2015-12-31,18.28,$-2.26,0.0
2015-09-30,29.75,$-7.51,0.0
2015-06-30,42.82,$-14.71,0.0
2015-03-31,47.94,$-17.94,0.0
2014-12-31,35.79,$-14.97,0.0
2014-09-30,72.29,$-5.09,0.0
2014-06-30,77.95,$3.09,25.22
2014-03-31,66.03,$2.85,23.2
2013-12-31,76.98,$2.18,35.32
2013-09-30,71.45,$-4.06,0.0
2013-06-30,55.52,$-6.61,0.0
2013-03-31,54.77,$-7.49,0.0
2012-12-31,48.29,$-8.23,0.0
2012-09-30,50.0,$-10.10,0.0
2012-06-30,45.38,$-8.83,0.0
2012-03-31,65.35,$-7.86,0.0
2011-12-31,67.5,$-7.52,0.0
2011-09-30,55.97,$-4.71,0.0
2011-06-30,67.81,$-4.05,0.0
2011-03-31,68.42,$-3.69,0.0
2010-12-31,54.35,$2.16,25.17
2010-09-30,34.5,$3.47,9.94
2010-06-30,36.99,$4.42,8.36
2010-03-31,32.02,$5.72,5.6
2009-12-31,31.5,$1.55,20.35
