NAPCO Security Technologies Price to Free Cash Flow Ratio Historical Data,NAPCO Security Technologies Price to Free Cash Flow Ratio Historical Data,NAPCO Security Technologies Price to Free Cash Flow Ratio Historical Data,NAPCO Security Technologies Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,24.24,,18.1
2024-12-31,35.56,$1.34,26.55
2024-09-30,40.33,$1.19,33.87
2024-06-30,51.61,$1.18,43.7
2024-03-31,39.82,$1.13,35.26
2023-12-31,33.88,$1.07,31.77
2023-09-30,21.95,$0.95,23.2
2023-06-30,34.08,$0.59,57.9
2023-03-31,36.89,$0.26,143.5
2022-12-31,26.98,$0.00,0.0
2022-09-30,28.55,$0.04,651.79
2022-06-30,20.21,$0.19,108.79
2022-03-31,20.15,$0.36,55.6
2021-12-31,24.53,$0.56,44.17
2021-09-30,21.15,$0.58,36.55
2021-06-30,17.85,$0.60,29.89
2021-03-31,17.1,$0.52,32.69
2020-12-31,12.87,$0.37,35.15
2020-09-30,11.54,$0.26,44.47
2020-06-30,11.48,$0.24,48.86
2020-03-31,7.45,$0.21,35.58
2019-12-31,14.43,$0.14,103.12
2019-09-30,12.53,$0.18,69.13
2019-06-30,14.57,$0.18,81.44
2019-03-31,10.18,$0.19,53.69
2018-12-31,7.73,$0.26,30.02
2018-09-30,7.34,$0.22,33.27
2018-06-30,7.19,$0.17,41.12
2018-03-31,5.74,$0.13,44.73
2017-12-31,4.3,$0.02,197.02
2017-09-30,4.76,$0.01,0.0
2017-06-30,4.61,$0.03,168.4
2017-03-31,5.01,$0.08,61.66
2016-12-31,4.17,$0.21,20.11
2016-09-30,3.53,$0.22,16.04
2016-06-30,3.12,$0.22,13.93
2016-03-31,3.07,$0.16,18.93
2015-12-31,2.9,$0.13,23.15
2015-09-30,2.97,$0.08,38.07
2015-06-30,2.81,$0.08,34.17
2015-03-31,2.84,$0.07,41.43
2014-12-31,2.31,$0.04,52.79
2014-09-30,2.31,$0.06,36.05
2014-06-30,2.67,$0.10,25.95
2014-03-31,3.25,$0.14,22.9
2013-12-31,3.08,$0.14,21.8
2013-09-30,2.61,$0.17,15.18
2013-06-30,2.35,$0.12,20.12
2013-03-31,1.96,$0.09,21.39
2012-12-31,1.79,$0.14,13.09
2012-09-30,1.65,$0.11,15.15
2012-06-30,1.44,$0.09,15.96
2012-03-31,1.54,$0.11,13.38
2011-12-31,1.22,$0.10,12.8
2011-09-30,1.12,$0.11,9.94
2011-06-30,1.46,$0.09,15.41
2011-03-31,1.11,$0.06,17.91
2010-12-31,0.86,$0.01,79.26
2010-09-30,0.96,$0.05,17.86
2010-06-30,0.88,$0.13,6.77
2010-03-31,1.13,$0.18,6.31
2009-12-31,0.82,$0.31,2.69
