Core & Main Price to Free Cash Flow Ratio Historical Data,Core & Main Price to Free Cash Flow Ratio Historical Data,Core & Main Price to Free Cash Flow Ratio Historical Data,Core & Main Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,48.51,,16.05
2024-10-31,44.28,$3.02,14.65
2024-07-31,53.47,$3.37,15.85
2024-04-30,56.47,$4.42,12.78
2024-01-31,41.31,$4.52,9.14
2023-10-31,30.08,$4.52,6.65
2023-07-31,31.61,$3.52,8.99
2023-04-30,26.06,$2.15,12.13
2023-01-31,22.07,$1.53,14.45
2022-10-31,23.58,$0.41,56.83
2022-07-31,24.14,$0.26,92.6
2022-04-30,23.76,$-0.38,0.0
