Texas Capital Bancshares Price to Free Cash Flow Ratio Historical Data,Texas Capital Bancshares Price to Free Cash Flow Ratio Historical Data,Texas Capital Bancshares Price to Free Cash Flow Ratio Historical Data,Texas Capital Bancshares Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,75.61,,8.53
2024-12-31,78.2,$8.86,8.83
2024-09-30,71.46,$12.47,5.73
2024-06-30,61.14,$7.44,8.22
2024-03-31,61.55,$8.60,7.16
2023-12-31,64.63,$7.35,8.79
2023-09-30,58.9,$2.21,26.62
2023-06-30,51.5,$1.75,29.49
2023-03-31,48.96,$1.65,29.59
2022-12-31,60.31,$2.68,22.52
2022-09-30,59.03,$6.18,9.55
2022-06-30,52.64,$6.92,7.61
2022-03-31,57.31,$10.27,5.58
2021-12-31,60.25,$12.77,4.72
2021-09-30,60.02,$19.91,3.01
2021-06-30,63.49,$16.05,3.96
2021-03-31,70.92,$20.64,3.44
2020-12-31,59.5,$52.13,1.14
2020-09-30,31.13,$46.58,0.67
2020-06-30,30.87,$19.35,1.59
2020-03-31,22.17,$27.06,0.82
2019-12-31,56.77,$-5.09,0.0
2019-09-30,54.65,$-14.22,0.0
2019-06-30,61.37,$9.99,6.14
2019-03-31,54.59,$-10.48,0.0
2018-12-31,51.09,$-13.67,0.0
2018-09-30,82.65,$-8.52,0.0
2018-06-30,91.5,$-4.79,0.0
2018-03-31,89.9,$-0.77,0.0
2017-12-31,88.9,$2.39,37.27
2017-09-30,85.8,$-3.72,0.0
2017-06-30,77.4,$-10.40,0.0
2017-03-31,83.45,$-12.50,0.0
2016-12-31,78.4,$-15.58,0.0
2016-09-30,54.92,$-9.74,0.0
2016-06-30,46.76,$-1.62,0.0
2016-03-31,38.38,$0.70,55.1
2015-12-31,49.42,$1.38,35.91
2015-09-30,52.44,$2.67,19.61
2015-06-30,62.24,$4.25,14.66
2015-03-31,48.65,$3.14,15.5
2014-12-31,54.33,$3.23,16.84
2014-09-30,57.68,$3.18,18.11
2014-06-30,53.95,$2.26,23.84
2014-03-31,64.94,$3.57,18.17
2013-12-31,62.2,$4.48,13.87
2013-09-30,45.89,$22.64,2.03
2013-06-30,44.36,$12.19,3.64
2013-03-31,40.45,$7.86,5.14
2012-12-31,44.82,$2.13,21.0
2012-09-30,49.71,$2.96,16.8
2012-06-30,40.39,$-8.36,0.0
2012-03-31,34.62,$-12.98,0.0
2011-12-31,30.61,$1.89,16.17
2011-09-30,22.85,$-11.87,0.0
2011-06-30,25.83,$-1.14,0.0
2011-03-31,25.99,$-3.70,0.0
2010-12-31,21.34,$-10.92,0.0
2010-09-30,17.27,$-20.81,0.0
2010-06-30,16.4,$-10.17,0.0
2010-03-31,18.99,$-3.81,0.0
2009-12-31,13.96,$-4.23,0.0
