Quantum Price to Free Cash Flow Ratio Historical Data,Quantum Price to Free Cash Flow Ratio Historical Data,Quantum Price to Free Cash Flow Ratio Historical Data,Quantum Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,16.45,,0.0
2024-12-31,53.92,$-2.98,0.0
2024-09-30,3.5,$-4.42,0.0
2024-06-30,8.18,$-1.60,0.0
2024-03-31,11.9,$-3.37,0.0
2023-12-31,6.98,$-8.93,0.0
2023-09-30,12.2,$-6.77,0.0
2023-06-30,21.6,$-1.23,0.0
2023-03-31,23.0,$-3.83,0.0
2022-12-31,21.8,$-2.15,0.0
2022-09-30,21.6,$-6.38,0.0
2022-06-30,28.4,$-14.44,0.0
2022-03-31,45.4,$-12.13,0.0
2021-12-31,110.4,$-1.72,0.0
2021-09-30,103.6,$0.67,154.83
2021-06-30,137.8,$-1.65,0.0
2021-03-31,166.6,$-3.59,0.0
2020-12-31,122.4,$-11.08,0.0
2020-09-30,92.0,$-6.28,0.0
2020-06-30,77.2,$-7.03,0.0
2020-03-31,59.0,$-2.03,0.0
2019-12-31,32.4,$-9.02,0.0
2019-09-30,32.4,$-17.83,0.0
2019-06-30,32.4,$-11.80,0.0
2019-03-31,32.4,$-11.01,0.0
2018-12-31,40.0,$-10.19,0.0
2018-09-30,48.0,$-2.35,0.0
2018-06-30,44.0,$-3.87,0.0
2018-03-31,72.8,$-4.39,0.0
2017-12-31,112.6,$-0.22,0.0
2017-09-30,122.4,$2.27,54.0
2017-06-30,156.2,$1.94,80.68
2017-03-31,139.2,$4.19,33.19
2016-12-31,133.14,$7.18,18.56
2016-09-30,117.79,$-6.19,0.0
2016-06-30,67.2,$2.44,27.55
2016-03-31,97.6,$-9.26,0.0
2015-12-31,148.8,$-13.93,0.0
2015-09-30,111.57,$-4.81,0.0
2015-06-30,268.8,$-10.34,0.0
2015-03-31,256.0,$2.00,127.81
2014-12-31,281.6,$16.94,16.63
2014-09-30,185.6,$20.29,9.15
2014-06-30,195.2,$17.37,11.24
2014-03-31,195.2,$19.12,10.21
2013-12-31,192.0,$16.84,11.4
2013-09-30,220.8,$15.81,13.96
2013-06-30,219.2,$7.04,31.15
2013-03-31,204.8,$-1.58,0.0
2012-12-31,198.4,$-4.46,0.0
2012-09-30,257.6,$2.05,125.9
2012-06-30,324.8,$14.54,22.34
2012-03-31,419.2,$23.56,17.8
2011-12-31,384.0,$30.90,12.43
2011-09-30,289.6,$33.18,8.73
2011-06-30,528.0,$46.72,11.3
2011-03-31,403.2,$27.85,14.48
2010-12-31,595.2,$23.79,25.01
2010-09-30,339.2,$21.58,15.72
2010-06-30,300.8,$30.06,10.01
2010-03-31,420.8,$65.48,6.43
2009-12-31,468.8,$119.05,3.94
