Acadia Realty Trust Price to Free Cash Flow Ratio Historical Data,Acadia Realty Trust Price to Free Cash Flow Ratio Historical Data,Acadia Realty Trust Price to Free Cash Flow Ratio Historical Data,Acadia Realty Trust Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,21.48,,34.2
2024-12-31,24.16,$0.63,38.47
2024-09-30,23.48,$0.65,36.19
2024-06-30,17.78,$0.45,39.22
2024-03-31,16.71,$-0.06,0.0
2023-12-31,16.51,$0.31,53.84
2023-09-30,13.8,$1.35,10.2
2023-06-30,13.67,$2.06,6.64
2023-03-31,13.09,$1.89,6.94
2022-12-31,13.28,$1.22,10.92
2022-09-30,11.54,$-0.64,0.0
2022-06-30,14.08,$-1.74,0.0
2022-03-31,19.31,$-1.10,0.0
2021-12-31,19.3,$-0.38,0.0
2021-09-30,17.92,$1.05,17.0
2021-06-30,19.14,$1.56,12.29
2021-03-31,16.42,$1.21,13.52
2020-12-31,12.19,$0.78,15.71
2020-09-30,9.02,$-0.75,0.0
2020-06-30,11.15,$-1.11,0.0
2020-03-31,10.64,$-1.86,0.0
2019-12-31,21.76,$-2.24,0.0
2019-09-30,23.72,$-1.00,0.0
2019-06-30,22.5,$-0.97,0.0
2019-03-31,22.19,$0.15,146.64
2018-12-31,19.14,$0.15,131.34
2018-09-30,22.32,$2.33,9.6
2018-06-30,21.58,$2.54,8.49
2018-03-31,19.21,$1.63,11.75
2017-12-31,21.13,$2.09,10.11
2017-09-30,21.89,$-2.05,0.0
2017-06-30,21.07,$-5.59,0.0
2017-03-31,22.57,$-4.46,0.0
2016-12-31,24.33,$-3.09,0.0
2016-09-30,26.63,$-1.77,0.0
2016-06-30,25.93,$2.08,12.49
2016-03-31,25.46,$3.20,7.97
2015-12-31,23.85,$-0.26,0.0
2015-09-30,21.32,$-1.19,0.0
2015-06-30,20.47,$1.59,12.85
2015-03-31,24.34,$0.11,215.56
2014-12-31,22.19,$0.80,27.7
2014-09-30,18.8,$4.89,3.84
2014-06-30,18.99,$1.49,12.78
2014-03-31,17.69,$1.22,14.44
2013-12-31,16.5,$0.90,18.24
2013-09-30,16.25,$4.32,3.76
2013-06-30,16.12,$4.84,3.33
2013-03-31,17.98,$3.99,4.51
2012-12-31,16.12,$4.68,3.45
2012-09-30,15.84,$-0.73,0.0
2012-06-30,14.68,$-1.17,0.0
2012-03-31,14.17,$-0.88,0.0
2011-12-31,12.46,$0.29,42.8
2011-09-30,11.46,$0.28,40.97
2011-06-30,12.34,$0.51,24.33
2011-03-31,11.39,$1.11,10.29
2010-12-31,10.87,$1.03,10.58
2010-09-30,11.21,$0.90,12.51
2010-06-30,9.83,$3.86,2.55
2010-03-31,10.33,$0.94,11.01
2009-12-31,9.66,$1.55,6.22
