Snail Price to Free Cash Flow Ratio Historical Data,Snail Price to Free Cash Flow Ratio Historical Data,Snail Price to Free Cash Flow Ratio Historical Data,Snail Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,1.61,,4.44
2024-09-30,0.72,$0.36,1.99
2024-06-30,0.86,$0.44,1.94
2024-03-31,0.99,$0.38,2.6
2023-12-31,1.21,$0.01,95.28
2023-09-30,1.14,$-0.38,0.0
