Bio-Techne Corp Price to Free Cash Flow Ratio Historical Data,Bio-Techne Corp Price to Free Cash Flow Ratio Historical Data,Bio-Techne Corp Price to Free Cash Flow Ratio Historical Data,Bio-Techne Corp Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,60.34,,38.21
2024-12-31,72.03,$1.58,45.61
2024-09-30,79.85,$1.53,52.35
2024-06-30,71.5,$1.47,48.69
2024-03-31,70.17,$1.56,44.99
2023-12-31,76.83,$1.40,54.88
2023-09-30,67.68,$1.33,50.84
2023-06-30,81.09,$1.34,60.72
2023-03-31,73.62,$1.43,51.49
2022-12-31,82.16,$1.55,53.07
2022-09-30,70.32,$1.74,40.46
2022-06-30,85.75,$1.71,50.2
2022-03-31,107.04,$1.86,57.66
2021-12-31,127.77,$1.88,67.82
2021-09-30,119.61,$1.81,65.92
2021-06-30,111.06,$1.90,58.42
2021-03-31,94.13,$1.39,67.89
2020-12-31,78.2,$1.26,62.25
2020-09-30,60.94,$1.13,54.09
2020-06-30,64.88,$0.97,66.63
2020-03-31,46.54,$1.08,42.97
2019-12-31,53.79,$1.05,51.29
2019-09-30,47.87,$0.97,49.44
2019-06-30,50.92,$1.00,50.71
2019-03-31,48.42,$1.11,43.65
2018-12-31,35.23,$1.00,35.11
2018-09-30,49.6,$0.95,52.35
2018-06-30,35.89,$0.98,36.56
2018-03-31,36.56,$0.89,40.97
2017-12-31,31.29,$0.92,34.16
2017-09-30,29.12,$0.96,30.35
2017-06-30,28.23,$0.86,32.94
2017-03-31,24.35,$0.78,31.15
2016-12-31,24.56,$0.87,28.17
2016-09-30,26.07,$0.84,31.08
2016-06-30,26.77,$0.85,31.4
2016-03-31,22.36,$0.83,26.91
2015-12-31,21.21,$0.77,27.41
2015-09-30,21.72,$0.77,28.31
2015-06-30,23.06,$0.80,28.75
2015-03-31,23.41,$0.84,27.82
2014-12-31,21.49,$0.88,24.56
2014-09-30,21.68,$0.84,25.72
2014-06-30,21.39,$0.83,25.75
2014-03-31,19.66,$0.75,26.04
2013-12-31,21.72,$0.73,29.81
2013-09-30,18.3,$0.70,26.2
2013-06-30,15.73,$0.69,22.97
2013-03-31,15.38,$0.76,20.19
2012-12-31,15.43,$0.80,19.17
2012-09-30,16.17,$0.77,20.93
2012-06-30,16.61,$0.82,20.37
2012-03-31,15.63,$0.80,19.62
2011-12-31,15.16,$0.79,19.27
2011-09-30,15.04,$0.86,17.58
2011-06-30,18.36,$0.83,22.1
2011-03-31,15.72,$0.81,19.36
2010-12-31,14.36,$0.74,19.29
2010-09-30,13.44,$0.73,18.42
2010-06-30,12.45,$0.71,17.45
2010-03-31,13.72,$0.68,20.18
2009-12-31,14.74,$1.05,13.99
