Sabine Royalty Trust Price to Free Cash Flow Ratio Historical Data,Sabine Royalty Trust Price to Free Cash Flow Ratio Historical Data,Sabine Royalty Trust Price to Free Cash Flow Ratio Historical Data,Sabine Royalty Trust Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,67.13,,inf
2024-12-31,64.81,0.0,0.0
2024-09-30,60.53,0.0,0.0
2024-06-30,62.14,0.0,0.0
2024-03-31,59.53,0.0,0.0
2023-12-31,62.27,0.0,0.0
2023-09-30,58.49,0.0,0.0
2023-06-30,57.66,0.0,0.0
2023-03-31,61.5,0.0,0.0
2022-12-31,71.65,0.0,0.0
2022-09-30,57.73,0.0,0.0
2022-06-30,47.96,0.0,0.0
2022-03-31,44.14,0.0,0.0
2021-12-31,30.81,0.0,0.0
2021-09-30,30.91,0.0,0.0
2021-06-30,28.47,0.0,0.0
2021-03-31,20.97,0.0,0.0
2020-12-31,19.17,0.0,0.0
2020-09-30,19.46,0.0,0.0
2020-06-30,18.16,0.0,0.0
2020-03-31,17.73,0.0,0.0
2019-12-31,25.32,0.0,0.0
2019-09-30,26.8,0.0,0.0
2019-06-30,29.58,0.0,0.0
2019-03-31,28.0,0.0,0.0
2018-12-31,21.99,0.0,0.0
2018-09-30,24.22,0.0,0.0
2018-06-30,26.57,0.0,0.0
2018-03-31,24.33,0.0,0.0
2017-12-31,24.35,0.0,0.0
2017-09-30,22.01,0.0,0.0
2017-06-30,20.58,0.0,0.0
2017-03-31,18.55,0.0,0.0
2016-12-31,18.05,0.0,0.0
2016-09-30,18.63,0.0,0.0
2016-06-30,16.71,0.0,0.0
2016-03-31,14.62,0.0,0.0
2015-12-31,12.73,0.0,0.0
2015-09-30,14.58,0.0,0.0
2015-06-30,17.54,0.0,0.0
2015-03-31,17.94,0.0,0.0
2014-12-31,15.92,0.0,0.0
2014-09-30,23.62,0.0,0.0
2014-06-30,25.92,0.0,0.0
2014-03-31,20.7,0.0,0.0
2013-12-31,20.8,0.0,0.0
2013-09-30,20.53,0.0,0.0
2013-06-30,20.44,0.0,0.0
2013-03-31,18.09,0.0,0.0
2012-12-31,15.16,0.0,0.0
2012-09-30,19.36,0.0,0.0
2012-06-30,18.45,0.0,0.0
2012-03-31,21.73,0.0,0.0
2011-12-31,22.44,0.0,0.0
2011-09-30,22.13,0.0,0.0
2011-06-30,21.96,0.0,0.0
2011-03-31,20.54,0.0,0.0
2010-12-31,19.92,0.0,0.0
2010-09-30,17.45,0.0,0.0
2010-06-30,15.23,0.0,0.0
2010-03-31,14.44,0.0,0.0
2009-12-31,12.75,0.0,0.0
