SouthState Price to Free Cash Flow Ratio Historical Data,SouthState Price to Free Cash Flow Ratio Historical Data,SouthState Price to Free Cash Flow Ratio Historical Data,SouthState Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,92.81,,14.95
2024-12-31,99.48,$6.21,16.03
2024-09-30,96.7,$-1.93,0.0
2024-06-30,75.58,$7.08,10.68
2024-03-31,83.55,$9.55,8.75
2023-12-31,82.45,$6.65,12.39
2023-09-30,65.27,$12.69,5.14
2023-06-30,63.32,$14.95,4.24
2023-03-31,68.02,$15.54,4.38
2022-12-31,72.43,$22.87,3.17
2022-09-30,74.62,$20.63,3.62
2022-06-30,72.33,$15.23,4.75
2022-03-31,75.99,$10.01,7.59
2021-12-31,74.2,$6.18,12.0
2021-09-30,68.76,$11.20,6.14
2021-06-30,74.78,$12.10,6.18
2021-03-31,71.43,$12.95,5.51
2020-12-31,65.39,$9.92,6.59
2020-09-30,43.24,$6.56,6.59
2020-06-30,42.47,$3.85,11.03
2020-03-31,51.86,$5.21,9.94
2019-12-31,76.15,$4.99,15.26
2019-09-30,65.73,$5.28,12.45
2019-06-30,63.95,$6.17,10.36
2019-03-31,59.0,$5.89,10.01
2018-12-31,51.46,$7.70,6.68
2018-09-30,70.03,$7.19,9.74
2018-06-30,73.35,$7.90,9.29
2018-03-31,72.27,$7.60,9.5
2017-12-31,73.54,$6.11,12.04
2017-09-30,75.7,$5.48,13.82
2017-06-30,71.76,$4.49,15.97
2017-03-31,74.53,$4.21,17.71
2016-12-31,72.64,$4.64,15.67
2016-09-30,62.09,$5.28,11.77
2016-06-30,56.06,$6.94,8.08
2016-03-31,52.69,$8.21,6.42
2015-12-31,58.75,$7.09,8.29
2015-09-30,62.57,$6.57,9.53
2015-06-30,61.65,$4.77,12.94
2015-03-31,55.3,$3.89,14.2
2014-12-31,54.05,$4.41,12.26
2014-09-30,44.9,$7.53,5.96
2014-06-30,48.8,$8.55,5.71
2014-03-31,49.92,$11.34,4.4
2013-12-31,52.85,$11.39,4.64
2013-09-30,43.7,$16.72,2.61
2013-06-30,39.78,$14.51,2.74
2013-03-31,39.65,$8.96,4.43
2012-12-31,31.47,$10.96,2.87
2012-09-30,31.4,$7.32,4.29
2012-06-30,27.36,$8.35,3.28
2012-03-31,25.25,$9.82,2.57
2011-12-31,22.28,$9.85,2.26
2011-09-30,18.84,$12.27,1.54
2011-06-30,21.77,$8.31,2.62
2011-03-31,25.11,$9.75,2.58
2010-12-31,24.58,$6.22,3.95
2010-09-30,23.28,$-1.28,0.0
2010-06-30,26.14,$5.55,4.71
2010-03-31,27.38,$4.29,6.38
2009-12-31,20.37,$2.81,7.24
