Nano Dimension Price to Free Cash Flow Ratio Historical Data,Nano Dimension Price to Free Cash Flow Ratio Historical Data,Nano Dimension Price to Free Cash Flow Ratio Historical Data,Nano Dimension Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,2.13,,0.0
2024-09-30,2.45,$-0.41,0.0
2024-06-30,2.2,$-0.33,0.0
2024-03-31,2.79,$-0.39,0.0
2023-12-31,2.4,$-0.46,0.0
2023-09-30,2.72,$-0.45,0.0
2023-06-30,2.89,$-0.49,0.0
2023-03-31,2.89,$-0.43,0.0
2022-12-31,2.3,$-0.39,0.0
2022-09-30,2.39,$-0.37,0.0
2022-06-30,3.14,$-0.33,0.0
2022-03-31,3.56,$-0.27,0.0
2021-12-31,3.8,$-0.21,0.0
2021-09-30,5.64,$-0.37,0.0
2021-06-30,8.24,$-0.18,0.0
2021-03-31,8.59,$-0.29,0.0
2020-12-31,9.1,$-0.26,0.0
2020-09-30,2.86,$-3.78,0.0
2020-06-30,2.2,$-1.53,0.0
2020-03-31,0.94,$-3.78,0.0
2019-12-31,2.53,$-3.78,0.0
2019-09-30,4.01,$-8.04,0.0
2019-06-30,4.8,$-6.65,0.0
2019-03-31,7.1,$-8.04,0.0
2018-12-31,11.1,$-8.04,0.0
2018-09-30,19.7,$-17.08,0.0
2018-06-30,21.0,$-20.86,0.0
2018-03-31,18.6,$-17.08,0.0
2017-12-31,30.7,$-17.08,0.0
2017-09-30,51.2,$-8.64,0.0
2017-06-30,61.1,$-8.64,0.0
2017-03-31,67.0,$-8.64,0.0
2016-12-31,59.5,$-8.64,0.0
